In millions,"Years endedDecember31,2020",2019,2018
Operating activities Net income,"$4,730.5","$ 6,025.4 $ 5,924.3",
Adjustments to reconcile to cash provided by operations,,,
Charges and credits:,,,
Depreciation and amortization,"1,751.4","1,617.9","1,482.0"
Deferred income taxes,6.4,149.7,102.6
Share-based compensation,92.4,109.6,125.1
Net gain on sale of restaurant businesses,(28.2),(128.2),(308.8)
Other,(75.2),49.2,114.2
Changes in working capital items:,,,
Accounts receivable,(6.8),27.0,(479.4)
"Inventories, prepaid expenses and other current assets",(68.6),128.8,(1.9)
,(137.5),(26.8),129.4
Accounts payable Income taxes,,,(33.4)
Otheraccrued liabilities.,(43.6),173.4,(87.4)
Cash provided by operations.,"44.4 6,265.2",".(3.9). 8,122.1","6,966.7.."
Investing activities,"(1,640.8)","(2,393.7)",
Capital expenditures,,,"(2,741.7)"
Purchases of restaurant and other businesses,(66.1),(540.9),(101.7)
Sales of restaurant businesses,76.3,340.8,530.8
Sales of property,27.4,151.2,160.4
Other. Cashused forinvesting activities,57.4,(628.5),(302.9)
,"(1,545.8)","(3,071.1).","(2,455.1)"
Financing activities Net short-term borrowings,(893.1),799.2,95.9
Long-term financing issuances,"5,543.0","4,499.0","3,794.5"
Long-term financing repayments,"(2,411.7)","(2,061.9)","(1,759.6)"
,(907.8),"(4,976.2)","(5,207.7)"
Treasury stock purchases,"(3,752.9)","(3,581.9)",
Common stock dividends Proceeds from stock option exercises,295.5,,"(3,255.9)"
Other.,(122.0),350.5,403.2
Cashused for financing activities,,(23.5),(20.0)
Effectofexchangeratesoncashandequivalents,"(2,249.0)","(4,994.8)","(5,949.6)"
Cashand equivalents increase (decrease),80.2,(23.7).,(159.8)
,"2,550.6",32.5,"(1,597.8)"
Cashandequivalentsatbeginning.of year,898.5,866.0,"2,463.8"
Cashandequivalentsatendof year,"$3,449.1",898.5,866.0
Supplemental cash flow disclosures,,,
Interest paid,"$ 1,136.0","$ 1,066.5",959.6
Income taxes paid,"1,441.9","1,589.7","1,734.4"
