Exhibit Number,,Description
(3),(a),"RestatedCertficateofIncorporationeffctiveasofMay23,2019,incorporatedhereinbyreferencefromExibit3(a) of Form 10-Q (File No. 001-05231), filed August 6, 2019."
,(b),"By-Laws,asamendedandrestated withefectasofDecember6,2019,incorporatedhereinbyreference fromExhibit 3of Form 8-K (File No. 001-05231),filed December 10,2019."
(4),,"Instruments defining the rights of security holders,including Indentures:*"
,(a),"SeniorDebtSecurities Indenture,datedasofOctober19,1996,incorporated hereinbyreference fromExhibit (4)(a) of Form S-3 Registration Statement (File No. 333-14141),filed October 15,1996."
,(b),"SubordinatedDebtSecurities Indenture,datedasofOctober18,1996,incorporatedhereinbyreferencefromExhibit (4)(b) of Form S-3 Registration Statement (File No. 333-14141), filed October 15,1996."
,(c),"Description ofSecurities,incorporated hereinbyreference from Exhibit 4(c)ofForm10-K(FileNo.O01-05231),filed February 26,2020."
(10),Material Contracts,
,(a),"Directors'DeferredCompensationPlanamendedandrestatedeffctiveasofMay26,2016,incorporatedhereinby reference from Exhibit 10(a)(i)of Form 10-Q (File No.001-05231),for the quarter ended June 30,201.**"
,(b),"McDonald'sDeferedCompensationPlaneffctiveJanuary1,2017,incorporatedhereinbyreferencefromEhbit 10(b) of Form 10-K (File No.001-05231), for the year ended December 31, 2016.**"
,,"(i) FirstAmendmenttotheMcDonald's Deferred Compensation Plan,effectiveasof May1,2018,incorporated herein by reference from Exhibit 10(b)(i)of Form 10-Q (File No.O01-05231),for thequarter ended September"
,(c),"30,2018.** McDonald'smendedandRestatedDeferedCompensationPlaneffectiveasofMay262020incorporatedrein byreference from Exhibit 10(c)ofForm 10-Q(File No.001-05231),for the quarterended June30,2020.*"
,(d),"McDonald's CorporationSupplemental ProfitSharingandSavings Plan,effectiveasofSeptember1,2001, incorporated herein by reference from Exhibit 10(c)of Form 10-K (File No.O01-05231),for the year ended December 31,2001.**"
,(i),"FirstAmendment tothe McDonald'sCorporationSupplemental Profit Sharingand Savings Plan,efectiveasof January1,2002,incorporatedhereinbyreferencefromExhibit10(c)(i)ofForm10-K(FileNo.001-05231),for the year ended December 31, 2002.**"
,,"Second Amendment to the McDonald's Corporation Supplemental Profit Sharingand Savings Plan,effective January1,2005,incorporated herein by reference from Exhibit10(c)(ii)of Form10-K(FileNo.001-05231),for"
,(e),"the year ended December 31,2004.** McDonald's CorporationAmended and Restated 2001Omnibus Stock Ownership_Plan,effctiveJuly1,2008, incorporated herein byreference from Exhibit10(h)ofForm10-Q(FileNo.O01-05231),forthequarter ended June"
,"30,2009.** (i)","First Amendment to the McDonald's Corporation Amended and Restated 2001 Omnibus Stock Ownership Plan,incorporated hereinbyreference from Exhibit10(h)(i)ofForm10-K(FileNo.001-05231),for the year"
,(ii),"endedDecember 31,2008.** Second Amendment to the McDonald's Corporation Amended and Restated 2001 Omnibus Stock Ownership PlanasamendedeffectiveFebruary9,2011incorporatedhereinbyeferencefromExhibit10(h)(ii)ofForm"
,(f),"10-K (File No. 001-05231), for the year ended December 31, 2010.** McDonald's Corporation2012OmnibusStock OwnershipPlan,effctiveJune1,2012,incorporated herein by"
,(g),"reference fromExhibit10(h)ofForm10-Q(FileNo.001-05231),for thequarterended September30,2012.** McDonald's CorporationAmended andRestated 2012Omnibus Stock Ownership_Plan,effective May 21,2020,"
,,"incorporated herein byreference from Exhibit 10(g)ofForm10-Q(FileNo.001-05231),forthequarterended June 30，2020.**"
