,2020,2019,2018
Statutory U.S.federal income taxrate,21.0%,,21.0%21.0%
"State income taxes, net of related federal income tax benefit",1.8,1.8,1.8
Foreign income taxed at different rates,0.4,1.6,1.5
Tax impact of intercompany transactions,2.1,一,1
"Global intangible low-tax income (""GILTI"")",1.2,1.3,0.4
"Foreign-derived intangible income (""FDIl"")",(3.4),(1.3),(1.4)
Transition tax,,1,1.0
U.S./Foreign tax law changes,(1.8),一,1
Foreign tax credit redetermination regulations,,(1.0),一
"Other, net",1.7,1.5,(0.1)
Effective income taxrates,23.0 %,24.9%,24.2%
