"Years ended December 31,",,2020,2017,Increase/(decrease),Change in operating income plus depreciation and amortization (at constant foreign exchange rates),Weighted-average cash used for investing activities,Weighted-average cash used for investing activities (at constant foreign exchange rates),Three-year ROIC
NUMERATOR:,,,,,,,,
Operating income,"$7,324.0","$9,552.7",388.0,"$(2,228.7)",,,,
",Depreciation and amortization","1,751.4","1,363.4",,388.0,,,,
Currency translation,179.6,,,,,,,
Change in operating income plus depreciation and amortization (at constant foreign exchange rates),,,,,"$(1,661.1)",,,
DENOMINATOR:,,,,,,,,
Weighted-average cash used for investing activities,,,,,,"$ 6,205.7",,
",Currency translation",,,,,,9.4,,
Weighted-average cash used for investing activities (at constant foreign exchange rates),,,,,,,"$ 6,215.1",
Three-year ROIC,,,,,,,,$(26.7)%
