Dollars in millions,,,,,,,Increase/(decrease) excluding currency translation,Increase/(decrease) excluding currency translation
Dollars in millions,Amount,Amount,Amount,Amount,Amount,Amount,Increase/(decrease),Increase/(decrease)
Dollars in millions,2020 ....,2019,2018,2020,2019,2020 .,2019,
Dollars in millions,,,,,,,,
Franchised: U.S.,"$ 4,097","$4,227","$ 4,070",(3%),4%,(3%),4%,
International Operated Markets,"3,329","4,018","3,829",(17),5,(19),10,
International Developmental Licensed Markets& Corporate,"1,093","1,210",".1,140",(10),6,(8).,11,
Total,"$ 8,519","$ 9,455","$ 9,039",(10%),5%,(10%),7%,
Company-operated:,Company-operated:,Company-operated:,Company-operated:,Company-operated:,Company-operated:,Company-operated:,Company-operated:,
U.S.,$ 405,$ 388,$ 397,4%,(2%),4%,(2%),
International Operated Markets,748,"1,266","1,327",(41),(5),(41),(1),
International Developmental Licensed Markets& Corporate,n/m,n/m,n/m,n/m,n/m,n/m,n/m,
Total,"$ 1,158","$ 1,660","$1,747",(30%),(5%),(30%),(2%),
Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,Total restaurant margins:,
U.S.,"$ 4,502","$ 4,615","$ 4,467",(2%),3%,(2%),3%,
International Operated Markets,"4,077","5,284","5,156",(23),2,(24),7,
International Developmental Licensed Markets& Corporate,n/m,n/m,n/m,n/m,n/m,n/m,n/m,
Total,"$ 9,677",,"$11,115$10,786",(13%),3%,(13%),6%,
