Team,Hindi,English,System Description Paper
saroyehun,,√,"(Aroyehun and Gelbukh, 2018)"
EBSI-LIA-UNAM,,√,"(Arroyo-Fernandez et al., 2018)"
DA-LD-Hildesheim,√,√,"(Modha et al., 2018)"
TakeLab,,√,"(Golem et al., 2018)"
sreeIN,,,"(Madisetty and Desarkar, 2018)"
Julian,4,,"(Risch and Krestel, 2018)"
taraka_rama,√,,
uOttawa,,√,"(Orabi et al., 2018)"
Isistanitos,,√,"(Tommasel et al., 2018)"
hakuchumu,,√,
DataGeeks,√,√,
na14,√,√,"(Samghabadi et al., 2018)"
dinel,,√,"(Orasan, 2018)"
vista.ue,√,√,"(Raiyani et al., 2018)"
MANITBHOPALINDIA,√,√,
IRIT,√,√,"(Ramiandrisoa and Mothe, 2018)"
quine,,√,"(Nikhil et al., 2018)"
IIIT-Delhi,√,Y,
PMRS,√,√,"(Maitra and Sarkhel, 2018)"
resham,,√,
IreneR,√,√,
Nestor,√,√,
UAEMex-UAPT1,,√,
forest_and_trees,,√,"(Galery et al., 2018)"
groutar Shusrut,√,√,"(Fortuna et al., 2018) (Roy et al., 2018)"
,,√,
malaypramanick,,√,
UAEMex-UAPT-TAC2,√ √,√,
Unito,,√,
bhanodaig,,√,"(Kumar et al., 2018a)"
Total,15,30,18
