```csv
"Stage 1","Stage 2","Stage 3","POCI","Total","Stage 1","Stage 2","Stage 3","POCI","Total"
"472,253","59,599","8,315","332","540,499","-672","-920","-3,747","-99","-5,438"
"5,416","1,000","278","2","6,696","-13","-29","-139","-1","-182"
"9,923","4,189","311","12","14,435","-22","-70","-122","-12","-226"
"88,138","14,525","1,581","136","104,380","-143","-211","-806","-50","-1,210"
"13,479","1,386","175","-","15,040","-14","-41","-25","-","-80"
"2,963","508","30","-","3,501","-6","-4","-18","-","-28"
"10,520","3,883","852","32","15,287","-16","-49","-467","-32","-564"
"83,151","9,897","1,625","8","94,681","-111","-137","-934","-2","-1,184"
"22,604","2,359","588","29","25,580","-42","-37","-158","-","-237"
"20,109","4,284","262","1","24,656","-37","-46","-62","-1","-146"
"18,103","1,706","141","21","19,971","-30","-23","-33","-1","-87"
"122,972","6,450","1,329","1","130,752","-108","-97","-475","-","-680"
"21,085","2,687","350","-","24,122","-31","-33","-145","-","-209"
"21,370","3,817","438","89","25,714","-33","-58","-179","-","-270"
"1,889","488","-","-","2,377","-1","-7","-","-","-8"
"1,700","184","16","-","1,900","-7","-5","-6","-","-18"
"3,543","811","111","-","4,465","-9","-20","-28","-","-57"
"2,537","257","30","-","2,824","-6","-8","-11","-","-25"
"13,143","941","191","1","14,276","-35","-31","-133","-","-199"
"725","66","-","-","791","-","-","-","-","-"
"2","-","-","-","2","-","-","-","-","-"
"8,159","147","7","-","8,313","-6","-2","-6","-","-14"
"722","14","-","-","736","-2","-12","-","-","-14"
"65,661","4,832","212","-","70,705","-42","-28","-90","-","-160"
"67,769","1,450","-","-","69,219","-14","-2","-","-","-16"
"605,683","65,881","8,527","332","680,423","-728","-950","-3,837","-99","-5,614"
```
