Debt securities issued	17,728	19,758	15,654	16,284	16,132	35,836	57,387	53,768	232,547
unsecured CDs and CP	4,913	12,280	11,020	8,745	11,509	1,156	2,095	1,578	53,296
unsecured senior MTNs	8,198	2,462	695	4,595	1,753	25,121	42,316	38,812	123,952
unsecured senior structured notes	1,698	1,386	1,711	1,003	923	3,579	6,102	9,596	25,998
secured covered bonds	—	—	—	—	1,139	749	3,661	1,159	6,708
secured asset-backed commercial paper	1,933	—	—	—	—	—	—	—	1,933
secured ABS	—	—	248	161	—	205	911	741	2,266
others	986	3,630	1,980	1,780	808	5,026	2,302	1,882	18,394
Subordinated liabilities	1,523	—	22	2,000	—	754	2,424	26,809	33,532
subordinated debt securities	1,500	—	22	2,000	—	754	2,424	24,587	31,287
preferred securities	23	—	—	—	—	—	—	2,222	2,245
At 31 Dec 2019	19,251	19,758	15,676	18,284	16,132	36,590	59,811	80,577	266,079
