```csv
"Gross carrying amount","Stage 1","Stage 2","Stage 3","POCI","Total","Stage 1","Stage 2","Stage 3","POCI","Total"
"Corporate and commercial",472253,59599,8315,332,540499,-672,-920,-3747,-99,-5438
"agriculture, forestry and fishing",5416,1000,278,2,6696,-13,-29,-139,1,-182
"mining and quarrying",9923,4189,311,12,14435,-22,-70,-122,12,-226
"manufacturing",88138,14525,1581,136,104380,-143,-211,-806,50,-1210
"electricity, gas, steam and air-conditioning supply",13479,1386,175,-,15040,-14,-41,-25,-,80
"water supply, sewerage, waste management and remediation",2963,508,30,-,3501,-6,-4,-18,-,28
"construction",10520,3883,852,32,15287,-16,-49,-467,32,-564
"wholesale and retail trade, repair of motor vehicles and motorcycles",83151,9897,1625,8,94681,-111,-137,-934,2,-1184
"transportation and storage",22604,2359,588,29,25580,-42,-37,-158,-,237
"accommodation and food",20109,4284,262,1,24656,-37,-46,-62,1,-146
"publishing, audiovisual and broadcasting",18103,1706,141,21,19971,-30,-23,-33,1,-87
"real estate",122972,6450,1329,1,130752,-108,-97,-475,-,680
"professional, scientific and technical activities",21085,2687,350,-,24122,-31,-33,-145,-,209
"administrative and support services",21370,3817,438,89,25714,-33,-58,-179,-,270
"public administration and defence, compulsory social security",1889,488,-,-,2377,-1,-7,-,8,-
"education",1700,184,16,-,1900,-7,-5,-6,-,18
"health and care",3543,811,111,-,4465,-9,-20,-28,-,57
"arts, entertainment and recreation",2537,257,30,-,2824,-6,-8,-11,-,25
"other services",13143,941,191,1,14276,-35,-31,-133,-,199
"activities of households",725,66,-,-,791,-,-,-,-,-
"extra-territorial organisations and bodies activities",2,-,-,-,2,-,-,-,-,-
"government",8159,147,7,-,8313,-6,-2,-6,-,14
"asset-backed securities",722,14,-,-,736,-2,-12,-,-,14
"Non-bank financial institutions",65661,4832,212,-,70705,-42,-28,-90,-,160
"Loans and advances to banks",67769,1450,-,-,69219,-14,-2,-,-,-16
"At 31 Dec 2019",605683,65881,8527,332,680423,-728,-950,-3837,-99,-5614
```
