3.,supervisor who is not ISEP-approved i.e. students can also claim 2 MCs for a rotation witha supervisor who is not ISEP-approved，provided special approval was granted for this rotation. Only an ISEP-approved supervisor can be nominated as Main Supervisor.,supervisor who is not ISEP-approved i.e. students can also claim 2 MCs for a rotation witha supervisor who is not ISEP-approved，provided special approval was granted for this rotation. Only an ISEP-approved supervisor can be nominated as Main Supervisor.,,,
3.,"Students have to submit a lab rotation report to the supervisor at the end of each rotation. The report should fulfil the following: 600 words (min) including a background of the research project, .","Students have to submit a lab rotation report to the supervisor at the end of each rotation. The report should fulfil the following: 600 words (min) including a background of the research project, .",,,
3.,"objective(s) of the project, methodology, results and discussion. ： 5 pages (max) including tables, figures,references etc.","objective(s) of the project, methodology, results and discussion. ： 5 pages (max) including tables, figures,references etc.",,,
3.,The supervisor will evaluate the student's report and performance during the rotation and proceed to submit the “Lab Rotation Evaluation” online form to ISEP.The reports willbe reviewed by the ISEP Director.,The supervisor will evaluate the student's report and performance during the rotation and proceed to submit the “Lab Rotation Evaluation” online form to ISEP.The reports willbe reviewed by the ISEP Director.,,,
3.,Students are required to participate in a workshop in Sep/Oct that will be facilitated by the module coordinators.,Students are required to participate in a workshop in Sep/Oct that will be facilitated by the module coordinators.,,,
3.,"Students are eligible for the 2 MCs and a “Compulsory Satisfactory (CS)/Unsatisfactory (CU)"" grading, subject to meeting all the criteria of the module - GS5101 Research Immersion Module, which include:","Students are eligible for the 2 MCs and a “Compulsory Satisfactory (CS)/Unsatisfactory (CU)"" grading, subject to meeting all the criteria of the module - GS5101 Research Immersion Module, which include:",,,
3.,"Attendance of the workshop. · Completion of two lab rotations with two ISEP-approved supervisors, . with their performance endorsed by the supervisors.","Attendance of the workshop. · Completion of two lab rotations with two ISEP-approved supervisors, . with their performance endorsed by the supervisors.",,,
3.,"Submission of two lab rotation reports, with the reports endorsed by the supervisors and approved by the ISEP Director. After the completion of the LRs, students may nominate their Main Supervisor by 02 Jan (for Aug intake) and O1 Jun (for Jan intake).","Submission of two lab rotation reports, with the reports endorsed by the supervisors and approved by the ISEP Director. After the completion of the LRs, students may nominate their Main Supervisor by 02 Jan (for Aug intake) and O1 Jun (for Jan intake).",,,
3.,Students who do not comply with the requirements of the LR may have their stipend suspended and/or be placed on academic probation. Note: The table below shows the time frames in which students should embark on their,Students who do not comply with the requirements of the LR may have their stipend suspended and/or be placed on academic probation. Note: The table below shows the time frames in which students should embark on their,,,
3.,commence earlier than the proposed timeframes.,1st and 2nd lab rotations. Students who have decided on the lab rotations may,,,
3.,Start date in Semester 1,Start date in Semester 2,,,
3.,1 Sep - 1st rotation (for Aug intake students),1 Feb - 1st rotation (for Jan intake students),,,
3.,1 Nov - 2nd rotation (for Aug intake students),1 Apr - 2nd rotation (for Jan intake students),,,
3.,Diagnostic English Test (DET),Diagnostic English Test (DET),"ISEP requires allinternational students, especially those from non-English medium universities to undergo the Diagnostic_ English Test (DET). Only Students who have studied in NUS, NTU, SUTD and SMU are exempted from the DET. The DET is an English Language test set by the Centre for English Language Communication (CELC). The purposes of the DET are to:","ISEP requires allinternational students, especially those from non-English medium universities to undergo the Diagnostic_ English Test (DET). Only Students who have studied in NUS, NTU, SUTD and SMU are exempted from the DET. The DET is an English Language test set by the Centre for English Language Communication (CELC). The purposes of the DET are to:",
3.,,,,.,determine which students will benefit from a basic level writing module before proceeding to an intermediate module. determine which students will benefit from an intermediate level writing
3.,,,,,module before taking an advanced level writing module to help them with their thesis writing. identify which students may be exempted from taking the above-
3.,,,,mentioned modules.,Results from the DET will determine whether students should be exempted from the Graduate English Course (GEC) or should they be placed in a GEC.
3.,,,,,"The courses, which aim to raise English language writing, reading, and speaking proficiency, are offered at three levels: Basic (ES5ooo), Intermediate (ES5001A/ES5001B) and Advanced (ES5002)."
,,,,Only students with Band 3 result from the DET may be exempted from the Graduate English Course. For information on the result of the DET and its,
Important Notes 1．,,,,"implications, please refer to http://www.nus.edu.sg/celc/programmes/det.html The milestones will be created by CELC in the student's milestone page in EduRec AFTER the student has taken the DET and recommended by CELC to undergo the Graduate English Course (GEC). If the student is exempted from the English course AFTER DET (with BAND 3 result from DET), the GEC milestone will not show in",
,,"thereafter. 2. before graduation. 3. 4. Without DET, students are not allowed to attempt PhD Qualifying","his/her record in EduRec. If the GEC milestone appears in the student's record in EduRec, it means that the student is required to proceed with the recommended level of English course. No exemptions are allowed The DET is a university-level requirement which must be fulfilled DET must be completed latest by the second semester of candidature.",,
4.,CITI RCR-Basic course,,"All graduate research students are required to complete the CITl-Responsible Conduct of Research-Basic course, preferably in their first semester.","All graduate research students are required to complete the CITl-Responsible Conduct of Research-Basic course, preferably in their first semester.",
