No.Area RIs.,Coursework conducted by NUS faculty and /or,Requirement Min 30 MCs,Description
,,Comprises the following: 1. Compulsory courses courses:,
,,All ISEP students have to fulfil 30 MCs which comprise the 3 compulsory ISEP,
,,"GS6001 (Research Ethics and Scientific Integrity) to be read latest by the 3rd semester upon enrolment,",
,,"GS5002 (Academic Professional Skills and Techniques) to be read latest by the 4th semester upon enrolment,",
,,GS6883A (Interface Sciences and Engineering) to be read latest by the 4th semester upon enrolment.,
,,2. Other courses supported by supervisor and approved by ISEP.,
,,3. Refer to Annex 1 for a list of modules offered by ISEP.,
,Important note: All modules taken should be level 50oo or 6000.,,
,"Levels 10oo - 4000 are undergraduate modules and can only be read . as ""AUDIT"". Students who audit a module will not receive a final grade. Audited modules will not appear on the student's transcript / result slip. No record of attendance wil be issued to auditors of a module. Note that it is subject to the host Faculty's approval whether students are allowed to audit a module.",,
,Graduate Modules Classified as S/U This is applicable to al ISEP students who wish to take graduate,,
,"1. modules outside their main undergraduate discipline, to be graded on a S/U system and NOT count towards the CAP. 2. Student may request for up to 3 modules (12 MCs), with the support of your main supervisor.",,
,"3. Application for S/U modules has to be done within the first month of the start of the module. Once approved by ISEP and the department hosting the module, students are not allowed to reverse their decision, be it before the examination or after the examination results release. 4. Any request for changes to the modules after the examination results",,
,"release such as changing grading basis from S to grade, grade to S/U or deleting a module is NOT allowed. NOTE: The ‘S'or ‘U' grade has no effect on the CAP since they carry no grade point.",,
2. Lab rotations,,"be taken to compensate for the “U"" graded module, and it should be noted that the limit of three S/U declarations for electives taken by the candidate cannot be exceeded. All new students have to complete two laboratory rotations (LRs) with two ISEP- approved supervisors within the first 4 months of their candidature. Each rotation will last 1.5-2 months. Special approval must be sought before rotation with a","be taken to compensate for the “U"" graded module, and it should be noted that the limit of three S/U declarations for electives taken by the candidate cannot be exceeded. All new students have to complete two laboratory rotations (LRs) with two ISEP- approved supervisors within the first 4 months of their candidature. Each rotation will last 1.5-2 months. Special approval must be sought before rotation with a"
