85% Protecting the jobs of American workers,80% Reducing the spread of infectious diseases
81 Taking measures to protect the U.S. from terrorist attacks,70Dealing with global climate change
Maintaining the U.S. military advantage 68,67 Protecting the jobs of American workers
overallothercountries 64 Reducing illegal immigration into the U.S.,Preventing the spread of weapons 66
Limiting the power and influence of f China,of mass destruction 63Improving relationships with our allies
Preventing the spread of weapons 62,60 Taking measures to protect the
of mass destruction 60 Reducing the spread of infectious diseases,U.S. from terrorist attacks
Getting other countries to assume more 57,50Limiting the power and influence of Russia Promoting and defending human rights 42
of the costs of maintaining world order 51 Limiting the power and influence of Iran,in other countries 40Aiding refugees fleeing violence around the worlc
48 Reducing our trade deficit with foreign countries,39Strengthening the United Nations
45 Limiting the power and influence of North Korea,37Limiting the power and influence of North Korea
44 Improving relationships with our allies,36 Limiting the power and influence of China
35 Reducing legal immigration into the U.S.,33Reducing our trade deficit with foreign countries
33Limiting the power and influence of Russia,Maintaining the U.S. military advantage 30
29 Reducing U.S.military commitments overseas,over all other countries Getting other countries to assume more of the 30 costs of maintaining world order
Promoting and defending human rights 23 in other countries,29Reducing U.S. military commitments overseas
19 Strengthening the United Nations,27Limiting the power and influence of Iran
15Promoting democracy in other nations,24 Promoting democracy in other nations
14 Dealing with global climate change,16Reducing illegal immigration into the U.S.
14 Aiding refugees fleeing violence around the world,11 Reducing legal immigration into the U.S.
