Protecting the jobs of American workers,Reducing the spread of infectious diseases,Dealing with global climate change,Protecting the jobs of American workers,Preventing the spread of weapons of mass destruction,Improving relationships with our allies,Taking measures to protect the U.S. from terrorist attacks,Limiting the power and influence of China
85%,80%,70,,66,,60,63
81,,67,,,,60,62
68,66,60,,,,,
64,,,,63,,,45
63,60,40,,,37,,44
62,,,,,,,40
60,57,50,,,,,
57,42,39,,,,,48
51,40,29,,,,,45
48,39,27,,,,,44
45,37,27,,,,,40
44,36,27,,,,,36
