Protecting the jobs of American workers,Reducing the spread of infectious diseases,Dealing with global climate change,Protecting the jobs of American workers,Preventing the spread of weapons of mass destruction,Improving relationships with our allies,Taking measures to protect the U.S. from terrorist attacks,Limiting the power and influence of China
85%,80%,70,67,66,63,60,63
81,70,67,64,63,60,60,62
68,66,60,60,60,57,50,57
64,63,50,50,42,40,40,48
63,60,40,40,39,37,36,45
62,57,39,37,33,33,33,44
60,50,33,33,30,29,29,35
57,42,30,30,27,27,27,23
51,40,29,29,24,24,24,19
48,39,27,27,16,16,16,15
45,37,27,27,14,14,14,14
44,36,27,27,11,11,11,11
