Total panelists in the survey\t2,943
Final dispositions\tAAPOR code\tTotal,
Completed interview\t1.1\t2,596
Logged onto survey; broke off\t2.12\t41,
Logged onto survey; did not complete any items\t2.1121\t23,
Never logged on (implicit refusal)\t2.11\t282,
Survey completed after close of the field period\t2.27\t0,
Completed interview but was removed for data quality\t\t1,
Screened out\t\tN/A,
Total panelists in the survey\t\t2,943
Completed interviews\t\t1\t2,596
Partial interviews\t\t0\t0,
Completed interviews\tI\t2,596
Partial interviews\tP\t0,
Refusals\tR\t346,
Non-contact\tNC\t1,
Other\tO\t0,
Unknown household\tUH\t0,
Unknown other\tUO\t0,
Not eligible\tNE\t0,
Total\t\t2,943
AAPOR RR1 = I / (I+P+R+NC+O+UH+UO)\t\t88%,
