Total panelists in the survey,,"2,943"
Final dispositions,AAPOR code,Total
Completed interview,1.1,"2,596"
Logged onto survey; broke off,2.12,41
Logged onto survey; did not complete any items,2.1121,23
Never logged on (implicit refusal),2.11,282
Survey completed after close of the field period,2.27,0
Completed interview but was removed for data quality,,1
Screened out,,N/A
Total panelists in the survey,,"2,943"
Completed interviews,I,"2,596"
Partial interviews,P,0
Refusals,R,346
Non-contact,NC,1
Other,O,0
Unknown household,UH,0
Unknown other,UO,0
Not eligible,NE,0
Total,,"2,943"
AAPOR RR1 = I / (I+P+R+NC+O+UH+UO),,88%
