Order Code,Description
ZC1000-W,Zips IoT Display Base Unit - White
ZC1000-B,Zips IoT Display Base Unit - Black
ZC1002-W,Zips IoT Dummy Display Base Unit - White
ZC1002-B,Zips IoT Dummy Display Base Unit - Black
ZC1901-W,Zips Display Case with Small Cover - White
ZC1003-W,Zips IoT Single Plunger Sensor Connector - White
ZC1003-B,Zips IoT Single Plunger Sensor Connector - Black
ZC1004-W,Zips IoT Dual Plunger Sensor Connector - White
ZC1004-B,Zips IoT Dual Plunger Sensor Connector - Black
ZC1005-W,Zips IoT Powered Micro-USB Sensor Connector - White
ZC1005-B,Zips IoT Powered Micro-USB Sensor Connector - Black
ZC1006-W,Zips IoT Powered USB-C Sensor Connector - White
ZC1006-B,Zips IoT Powered USB-C Sensor Connector - Black
ZC1013-W,Zips IoT Flex Tear Sensor Connector - White
ZC1013-B,Zips IoT Flex Tear Sensor Connector - Black
DBG400,Lockdown/Magnet Release Tool - 4 pack
ADH2317,Zips IoT Adhesive Replacement Kit - 3 Kits
