```csv
"Key Audit Matter","How our audit addressed the key audit matter"
"The Reserve Bank of India's (RBI) guidelines on Income recognition and asset classification (\"IRAC\") prescribe the prudential norms for identification and classification of non-performing assets (\"NPA\") and the minimum provision required for such assets.","Tested the design and operating effectiveness of key controls (including application controls) over approval, recording, monitoring and recovery of loans, monitoring overdue / stressed accounts, identification of NPA, provision for NPA and valuation of security and collateral."
"The Bank is required to have Board approved policy as per IRAC guidelines for NPA identification and provision.","Testing of Application controls include testing of automated controls, reports and system reconciliations."
"The Bank is also required to apply its judgement to determine the identification and provision required against NPAs by applying quantitative as well as qualitative factors. The risk of identification of NPAs is affected by factors like stress and liquidity concerns in certain sectors.","Evaluated the governance process and review controls over calculations of provision of non-performing advances, basis of provisioning approved in accordance with the Board approved policy."
"The provision on NPA is estimated based on ageing and classification of NPAs, recovery estimates, nature of loan product, value of security and other qualitative factors and is subject to the minimum provisioning norms specified by RBI and approved policy of the Bank in this regard.","Selected the borrowers based on quantitative and qualitative risk factors for their assessment of appropriate classification as NPA including computation of overdue ageing to assess its correct classification and provision amount as per extant IRAC norms and Bank policy."
"Additionally, the Bank makes provisions on exposures that are not classified as NPAs including advances in certain sectors and identified advances or group advances that can potentially slip into NPA. These are classified as contingency provisions.","Performed other substantive procedures included and not limited to the following:"
"• Selected samples of performing loans and assessed independently as to whether those should be classified as NPA;","• Selected samples of performing loans and assessed independently as to whether those should be classified as NPA;"
"• For samples selected reviewed the collateral valuation, financial statements and other qualitative information;","• For samples selected reviewed the collateral valuation, financial statements and other qualitative information;"
"• Considered the accounts reported by the Bank and other Banks as Special Mention Accounts (\"SMA\") in RBI's Central Repository of Information on Large Credits (CRILC) to identify stress;","• Considered the accounts reported by the Bank and other Banks as Special Mention Accounts (\"SMA\") in RBI's Central Repository of Information on Large Credits (CRILC) to identify stress;"
"• For selected samples assessed independently accounts that can potentially be classified as NPA and Red Flagged Accounts;","• For selected samples assessed independently accounts that can potentially be classified as NPA and Red Flagged Accounts;"
"• Performed inquiries with the credit and risk departments to ascertain if there were indicators of stress or an occurrence of an event of default in a particular loan account or any product category which needed to be considered as NPA;","• Performed inquiries with the credit and risk departments to ascertain if there were indicators of stress or an occurrence of an event of default in a particular loan account or any product category which needed to be considered as NPA;"
"• Examined the early warning reports generated by the Bank to identify stressed loan accounts;","• Examined the early warning reports generated by the Bank to identify stressed loan accounts;"
"• Held specific discussions with the management of the Bank on sectors where there is perceived credit risk and the steps taken to mitigate the risks to identified sectors;","• Held specific discussions with the management of the Bank on sectors where there is perceived credit risk and the steps taken to mitigate the risks to identified sectors;"
"• Selected samples for standard accounts, default but standard accounts and overdue accounts and assessed compliance with RBI circular on COVID-19 Regulatory Package;","• Selected samples for standard accounts, default but standard accounts and overdue accounts and assessed compliance with RBI circular on COVID-19 Regulatory Package;"
"• Selected and tested samples of accounts which were restructured under MSME restructuring circular and Resolution Framework for COVID-19 related stress circular for their compliance with the RBI directions;","• Selected and tested samples of accounts which were restructured under MSME restructuring circular and Resolution Framework for COVID-19 related stress circular for their compliance with the RBI directions;"
"• Selected samples of accounts which were not declared as NPA due to the interim order of Honourable Supreme Court and later on due to the vacation of the interim order and the RBI circular in connection with that to ensure the asset classification of borrower accounts has been continued as per the extant RBI instructions / IRAC norms.","• Selected samples of accounts which were not declared as NPA due to the interim order of Honourable Supreme Court and later on due to the vacation of the interim order and the RBI circular in connection with that to ensure the asset classification of borrower accounts has been continued as per the extant RBI instructions / IRAC norms."
"Assessed the adequacy of disclosures against the relevant accounting standards and RBI requirements relating to NPAs.","Assessed the adequacy of disclosures against the relevant accounting standards and RBI requirements relating to NPAs."
```
