Sl. No.,Name of the Project.,Item from the list of activities in schedule VII to the Act.,Local area (Yes/No),State,District,Project duration,Amount Allocated for the Project (₹ crore),Amount spent in the current financial Year (₹ crore),Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ crore),Mode of Implementation -Direct (Yes/No),Mode of Implementation - Through Implementing Agency Name,CSR Registration number
124,HRDP,Rural Development Projects (x),Yes,Uttar Pradesh,Lalitpur,1 year,1.17,1.17,NA,No,Centre for Advance Research and Development,CSR00000339
125,HRDP,Rural Development Projects (x),Yes,Madhya Pradesh,Rajgarh,1 year,1.26,1.26,NA,No,Arpan Seva Sansthan,CSR00000826
126,HRDP,Rural Development Projects (x),Yes,Gujarat,Kheda,1 year,0.28,0.28,NA,No,Foundation for Ecological Security,CSR00000637
127,HRDP,Rural Development Projects (x),Yes,Uttar Pradesh,Pratapgarh,1 year,0.93,0.93,NA,No,Peoples Action for National Integration,CSR00000125
128,HRDP,Rural Development Projects (x),Yes,Chhattisgarh,Balod,3 years,0.53,0.53,NA,No,Vrutti,CSR00000538
129,HRDP,Rural Development Projects (x),Yes,Bihar,Sitamarhi,1 year,0.68,0.68,NA,No,Oxfam India,CSR00000839
130,HRDP,Rural Development Projects (x),Yes,Rajasthan,Dholpur,1 year,0.31,0.31,NA,No,Manjari Foundation,CSR0000074
131,HRDP,Rural Development Projects (x),Yes,Maharashtra,Palghar,1 year,0.77,0.77,NA,No,All India Institute Of Local Self Government,CSR00000373
132,HRDP,Rural Development Projects (x),Yes,Rajasthan,Baran,1 year,0.31,0.31,NA,No,Self Reliant Initiatives through Joint Action (SRIJAN),CSR00001911
Total,,,"",,,,181.86,181.86,,,,"",
