Sl. No., Name of the Project., Item from the list of activities in schedule VII to the Act., Local area (Yes/ No), State, District, Project duration, Amount allocated for the Project (₹ crore), Amount spent in the current financial Year (₹ crore), Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ crore), Mode of Implementation - Direct (Yes/No), Mode of Implementation - Through Implementing Agency Name, CSR Registration number
55, HRDP, Rural Development Projects (x), Yes, Assam, Dhemaji Lakhimpur, 3 years, 1.27, 1.27, NA, No, World Vision India, CSR000004211
56, HRDP, Rural Development Projects (x), Yes, Maharashtra, Satara, 2 years, 1.31, 1.31, NA, No, Action For Agricultural Renewal In Maharashtra (AFARM), CSR00000092
57, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Chhindwada, 1 year, 0.49, 0.49, NA, No, Watershed Organisation Trust, CSR00000518
58, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Ratlam, Dhar, 1 year, 0.34, 0.34, NA, No, Baif Development Research Foundation, CSR00000308
59, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Barwani, 2 years, 1.62, 1.62, NA, No, Aga Khan Rural Support Programme India, CSR000004229
60, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Kabeerdham, 1 year, 1.26, 1.26, NA, No, Aroh Foundation, CSR00000044
61, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Durg, 1 year, 2.43, 2.43, NA, No, Care India Solutions For Sustainable Development, CSR00000786
62, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Dhamtari, 2 years, 0.50, 0.50, NA, No, Gramin Vikas Trust, CSR00000633
63, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Kanker, 2 years, 0.80, 0.80, NA, No, Udyogini, CSR00001487
64, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Balod, 2 years, 1.10, 1.10, NA, No, Vrutti, CSR00000538
65, HRDP, Rural Development Projects (x), Yes, Maharashtra, Washim, 1 year, 1.77, 1.77, NA, No, Ugam Gramin Vikas Sanstha UMRA, CSR00004874
66, HRDP, Rural Development Projects (x), Yes, Maharashtra, Nanded, 1 year, 0.83, 0.83, NA, No, Centre For Advance Research And Development, CSR00000339
67, HRDP, Rural Development Projects (x), Yes, Maharashtra, Yawatmal, 2 years, 1.38, 1.38, NA, No, Sanjeevani Inst. For Empowerment & Development, CSR00000270
68, HRDP, Rural Development Projects (x), Yes, Gujarat, Sabarkantha, 2 years, 1.54, 1.54, NA, No, Collectives for Integrated Livelihood Initiatives, CSR00000508
69, HRDP, Rural Development Projects (x), Yes, Gujarat, Narmada, 2 years, 0.95, 0.95, NA, No, Aga Khan Rural Support Programme India, CSR000004229
70, HRDP, Rural Development Projects (x), Yes, Gujarat, Kheda, 3 years, 1.33, 1.33, NA, No, Foundation for Ecological Security, CSR00000637
71, HRDP, Rural Development Projects (x), Yes, Bihar, Vaishali, 3 years, 1.58, 1.58, NA, No, Aga Khan Rural Support Programme India, CSR000004229
