```csv
"Schedule 12 - Contingent Liabilities","Year ended 31-Mar-21","Year ended 31-Mar-20"
"Claims against the bank not acknowledged as debts - taxation","12,727,093","12,967,986"
"Claims against the bank not acknowledged as debts - others","3,180,888","1,799,920"
"Liability on account of outstanding forward exchange contracts","4,964,726,675","6,079,194,921"
"Liability on account of outstanding derivative contracts","3,615,794,584","4,152,761,103"
"Guarantees given on behalf of constituents - in India","751,195,338","590,864,399"
"Guarantees given on behalf of constituents - outside India","1,800,917","859,639"
"Acceptances, endorsements and other obligations","376,536,252","440,232,727"
"Other items for which the Bank is contingently liable","26,844,845","26,059,920"
"Total","9,752,806,592","11,304,740,615"
"Schedule 13 - Interest Earned","Year ended 31-Mar-21","Year ended 31-Mar-20"
"Interest / discount on advances / bills","1,022,991,272","990,796,325"
"Income from investments","232,116,170","205,727,257"
"Interest on balance with RBI and other inter-bank funds","24,143,004","18,687,664"
"Others","6,273,487","6,681,669"
"Total","1,285,523,933","1,221,892,915"
"Schedule 14 - Other Income","Year ended 31-Mar-21","Year ended 31-Mar-20"
"Commission, exchange and brokerage","180,245,945","180,171,223"
"Profit / (loss) on sale of investments (net)","53,890,062","27,034,829"
"Profit / (loss) on revaluation of investments (net)","-14,853,243","-7,021,095"
"Profit / (loss) on sale of building and other assets (net)","465,748","259,150"
"Profit / (loss) on exchange / derivative transactions (net)","24,384,132","21,547,462"
"Miscellaneous income","29,196,159","26,798,179"
"Total","273,328,803","248,789,748"
```
