Sl. No., Name of the Project., Item from the list of activities in schedule VII to the Act., Local area (Yes/ No), State, District, Project duration, Amount allocated for the Project (₹ crore), Amount spent in the current financial Year (₹ crore), Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ crore), Mode of Implementation -Direct (Yes/No), Mode of Implementation - Through Implementing Agency Name, CSR Registration number
89, HRDP, Rural Development Projects (x), Yes, Sikkim, East Sikkim, 1 year, 2.12, 2.12, NA, No, Citizens Foundation, CSR00000589
90, HRDP, Rural Development Projects (x), Yes, Bihar, Nalanda, 1 year, 1.11, 1.11, NA, No, Oxfam India, CSR00000839
91, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Khargone, 1 year, 1.23, 1.23, NA, No, Society for the Upliftment of Villagers & Development of Himalayan Areas (SUVIDHA), CSR00000399
92, HRDP, Rural Development Projects (x), Yes, Maharashtra, Osmanabad, 1 year, 1.49, 1.49, NA, No, Cohesion Foundation Trust, CSR00000148
93, HRDP, Rural Development Projects (x), Yes, Odisha, Koraput, 1 year, 1.29, 1.29, NA, No, Foundation for Ecological Security, CSR00000637
94, HRDP, Rural Development Projects (x), Yes, Kerala, Alappuzha, Vaikkom, Ernakulam, Idukki, Wayanad, 3 years, 2.31, 2.31, NA, No, M.S. Swaminathan Research Foundation, CSR00000470
95, HRDP, Rural Development Projects (x), Yes, Maharashtra, Jalna, 3 years, 2.65, 2.65, NA, No, Watershed Organisation Trust, CSR00000518
96, HRDP, Rural Development Projects (x), Yes, Maharashtra, Dhule, 3 years, 1.35, 1.35, NA, No, Vikas Sahyog Pratishthan, CSR00001779
97, HRDP, Rural Development Projects (x), Yes, Assam, Darang, 1 year, 0.38, 0.38, NA, No, FXB India Suraksha, CSR00000076
98, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Ujjain, 1 year, 1.00, 1.00, NA, No, Action for Social Advancement (ASA), CSR00001213
99, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Balrampur, 1 year, 0.84, 0.84, NA, No, Udyogini, CSR00001487
100, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Surajpur, 1 year, 0.55, 0.55, NA, No, Indo Global Social Service Society, CSR00001677
101, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Sarguja, 1 year, 1.18, 1.18, NA, No, Ambuja Cement Foundation, NA
102, HRDP, Rural Development Projects (x), Yes, Punjab, Patiala, 1 year, 0.29, 0.29, NA, No, Ambuja Cement Foundation, NA
103, HRDP, Rural Development Projects (x), Yes, Assam, Lakhimpur, 1 year, 0.73, 0.73, NA, No, Indo Global Social Service Society, CSR00001677
104, HRDP, Rural Development Projects (x), Yes, Maharashtra, Nandurbar, 1 year, 2.09, 2.09, NA, No, Collectives for Integrated Livelihood Initiatives, CSR00000508
105, HRDP, Rural Development Projects (x), Yes, Uttar Pradesh, Gorakhpur, 1 year, 1.16, 1.16, NA, No, Peoples Action For National Integration, CSR00000125
106, HRDP, Rural Development Projects (x), Yes, Uttar Pradesh, Varanasi, 1 year, 1.26, 1.26, NA, No, Aroh Foundation, CSR00000044
