```tsv
Sl. No.	Name of the Project	Item from the list of activities in schedule VII to the Act	Local area (Yes/ No)	State	District
39	Support for Sports	Training to promote sports (viii)	Yes	PAN India	Multiple Districts
40	Dairy Support	Rural Development Projects (x)	Yes	Gujarat, Rajasthan	Anand, Aravalli, Banaskhanta, Bhilwara, Gandhinagar, Ghadkan, Jamnagar, Mahesana, Mehsana, Morbi, Patan, Rajkot, Sabarkantha, Surat, Surendranagar, Tapi, Valsad Jaipur, Ajmer
41	Empowerment Officers	Rural Development Projects (x)	Yes	PAN India	Multiple Districts
42	Financial Literacy	Rural Development Projects (x)	Yes	PAN India	Multiple Districts
43	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Varanasi
44	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Fatehpur, Barabanki, Chandauli, Bhadohi
45	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Firozabad, Badaun, Bulandshar
46	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Faizabad, Gonda, Sitapur, Sultanpur
47	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Pratapgarh, Allahabad
48	HRDP	Rural Development Projects (x)	Yes	Uttar Pradesh	Pilibhit
49	HRDP	Rural Development Projects (x)	Yes	Madhya Pradesh	Katni
50	HRDP	Rural Development Projects (x)	Yes	Meghalaya	Ri-Bhoi
51	HRDP	Rural Development Projects (x)	Yes	Maharashtra	Pune
52	HRDP	Rural Development Projects (x)	Yes	Maharashtra	Ahmednagar
```
