Sl. No.,Name of the Project,Item from the list of activities in schedule VII to the Act,Local area (Yes/ No),Location of the project,Amount spent for the Project (₹ crore),Mode of Implementation -Direct (Yes/No),Mode of Implementation - Through Implementing Agency,CSR Registration number
1,"Social Awareness","Promoting Education (ii)",Yes,"PAN India","Multiple Districts",4.73,Yes,,NA
2,"Swachha Banking","Promoting Education (ii)",Yes,"PAN India","Multiple Districts",5.64,Yes,,NA
3,"Disha","Promoting Education (ii)",Yes,"Chhattisgarh, Madhya Pradesh, Maharashtra & Rajasthan","Mahasamund, Korba, Raigarh, Mungeli, Bilaspur, Chhindwara, Vidisha, Betul, Mandla, Khargone, Sheopur, Khandwa, Pune, Nagpur, Bhandara, Sangli, Parbhani, Raigad, Nashik, Wardha, Dholpur, Chittogarh, Churu",3.05,No,"Magic Bus India Foundation",CSR00001330
4,"Scholarship for the girl child","Promoting Education (ii) / Gender Equality (iii)",Yes,"Maharashtra","Mumbai",0.25,No,"Sri Satya Sai Trust",NA
5,"Educational Crisis Scholarship Support (ECSS)","Promoting Education (ii)",Yes,"PAN India","Multiple Districts",2.40,No,"Buddy4Study Foundation",CSR00000121
6,"Fellowship program","Promoting Education (ii)",Yes,"Uttar Pradesh","Hardoi, Lakhimpur, Barabanki, Rae Bareli, Azamgarh, Chandauli, Ghazipur, Jaunpur, Mau, Varanasi, Lucknow, Sitapur, Unnao",0.20,No,"Milaan Foundation",NA
7,"Special Education Centre","Promoting Education (ii)",Yes,"Karnataka","Kodagu",0.25,No,"Kodagu Vidhyalaya",NA
8,"School Upgradation","Promoting Education (ii)",Yes,"Maharashtra","Mumbai",1.00,No,"Bombay Scottish Orphanage Society",NA
9,"Learning Improvement","Promoting Education (ii)",Yes,"Rajasthan","Jaipur",0.14,No,"Jagriti",CSR00003327
10,"SMART - Education","Promoting Education (ii)",Yes,"Tamil Nadu","Madurai",0.15,No,"Society of St. Mary's",NA
11,"Digital Education","Promotion of Education (ii)",Yes,"Bihar, Uttar Pradesh, Rajasthan, Jharkhand, Chhattisgarh","Patna, Banaras, Rajsamand, Bokaro, Giridih, Durg",9.88,No,"CSC Academy",NA
12,"Student Skill Development Program","Vocational Training and Livelihood Enhancement (ii)",Yes,"Chhattisgarh","Bilaspur, Korba, Raipur",0.78,No,"TISS",CSR00003475
13,"Skill Training Program for Youth","Vocational Training and Livelihood Enhancement (ii)",Yes,"Uttarakhand","Roorkee Haridwar",1.63,No,"Ambuja Cement Foundation",NA
14,"Skill Training Program for Youth","Vocational Training and Livelihood Enhancement (ii)",Yes,"Karnataka","Bangalore",1.62,No,"End Poverty",CSR00000314
15,"Skill Training Program for Youth","Vocational Training and Livelihood Enhancement (ii)",Yes,"Bihar, Maharashtra, Rajasthan, Jharkhand, Karnataka","Muzzaffarpur, Ranchi, Nagpur, Jaipur, Bidar",0.27,No,"Head Held High Foundation",CSR00000919
