```csv
Sl. No.,Name of the Project,Item from the list of activities in schedule VII to the Act,Local area (Yes/ No),State,District,Project duration,Amount allocated for the Project (₹ crore),Amount spent in the current financial Year (₹ crore),Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ crore),Mode of Implementation -Direct (Yes/No),Mode of Implementation - Through Implementing Agency Name,CSR Registration number
13,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,New Delhi,,1 year,0.13,0.13,NA,No,Udayan Care,CSR00000619
14,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Chandigarh Maharashtra,,1 year,2.58,2.58,NA,No,Friends Union for Energizing Lives,CSR0000051
15,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Uttar Pradesh,,1 year,0.80,0.80,NA,No,Ambuja Cement Foundation,NA
16,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Karnataka,,1 year,2.83,2.83,NA,No,Deshpande Foundation,CSR00001646
17,Skill Training for women,Vocational Training and Livelihood Enhancement (ii),Yes,PAN India,,1 year,1.00,1.00,NA,No,CSC Academy,NA
18,Nursing training Program,Vocational Training and Livelihood Enhancement (ii),Yes,Jharkhand,,2 years,3.60,3.60,NA,No,PAN IIT Alumni Reach for India Foundation,CSR00000005
19,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Chhattisgarh,,1 year,0.63,0.63,NA,No,Professional Assistance for Development Action (PRADAN),CSR00000973
20,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Punjab,,1 year,1.20,1.20,NA,No,Care India Solution for Sustainable Development,CSR00000786
21,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Gujarat,,1 year,1.00,1.00,NA,No,Care India Solution for Sustainable Development,CSR00000786
22,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Madhya Pradesh,,1 year,1.51,1.51,NA,No,Care India Solution for Sustainable Development,CSR00000786
23,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Jharkhand,,1 year,0.52,0.52,NA,No,Professional Assistance for Development Action (PRADAN),CSR00000973
24,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Maharashtra,,1 year,0.26,0.26,NA,No,The Pride India,CSR00001069
25,Livelihood Promotion for Farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Rajasthan,,1 year,0.81,0.81,NA,No,Manjari Foundation,CSR00000074
```
