Sl. No., Name of the Project., Item from the list of activities in schedule VII to the Act., Local area (Yes/ No), State, District, Project duration, Amount allocated for the Project (₹ crore), Amount spent in the current financial Year (₹ crore), Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ crore), Mode of Implementation -Direct (Yes/No), Mode of Implementation - Through Implementing Agency Name, CSR Registration number
107, HRDP, Rural Development Projects (x), Yes, Chhattisgarh, Gariaband, 1 year, 0.77, 0.77, NA, No, National Institute of Women Child and Youth Development, CSR00000206
108, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Burhanpur, 1 year, 0.62, 0.62, NA, No, Aga Khan Rural Support Programme India, CSR00004229
109, HRDP, Rural Development Projects (x), Yes, Jharkhand, Ranchi, 1 year, 1.04, 1.04, NA, No, Nav Bharat Jagriti Kendra, CSR00001693
110, HRDP, Rural Development Projects (x), Yes, Haryana, Nuh, 1 year, 0.68, 0.68, NA, No, S.M.Sehgal Foundation, CSR00000262
111, HRDP, Rural Development Projects (x), Yes, Uttar Pradesh, Bahraich, 1 year, 0.84, 0.84, NA, No, Aga Khan Foundation, NA
112, HRDP, Rural Development Projects (x), Yes, Rajasthan, Alwar, 1 year, 0.19, 0.19, NA, No, IBTADA, CSR00002333
113, HRDP, Rural Development Projects (x), Yes, Meghalaya, Ri-Bhoi, 1 year, 0.50, 0.50, NA, No, Society For Action In Community Health, CSR00000283
114, HRDP, Rural Development Projects (x), Yes, Uttarakhand, Almora, 1 year, 0.24, 0.24, NA, No, Himmoththan Society, CSR0000081
115, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Jhabua, 1 year, 0.79, 0.79, NA, No, BAIF Institute for Sustainable Livelihoods and Development, CSR00000259
116, HRDP, Rural Development Projects (x), Yes, Madhya Pradesh, Guna, 1 year, 0.87, 0.87, NA, No, End Poverty, CSR00000314
117, HRDP, Rural Development Projects (x), Yes, Maharashtra, Chandrapur, 1 year, 0.34, 0.34, NA, No, Krushi Vikas Va Gramin Prashikshan Sanstha, CSR00001360
118, HRDP, Rural Development Projects (x), Yes, Haryana, Rewari, 1 year, 0.58, 0.58, NA, No, End Poverty, CSR00000314
119, HRDP, Rural Development Projects (x), Yes, Maharashtra, Hingoli, 1 year, 0.65, 0.65, NA, No, BAIF Institute for Sustainable Livelihoods and Development, CSR00000259
120, HRDP, Rural Development Projects (x), Yes, Tamil Nadu, Virudhunagar, 1 year, 0.58, 0.58, NA, No, National Agro Foundation, NA
121, HRDP, Rural Development Projects (x), Yes, Himachal Pradesh, Hamirpur, 1 year, 0.49, 0.49, NA, No, Himmoththan Society, CSR0000081
122, HRDP, Rural Development Projects (x), Yes, Karnataka, Koppal, 1 year, 0.65, 0.65, NA, No, BAIF Institute for Sustainable Livelihoods and Development, CSR00000259
123, HRDP, Rural Development Projects (x), Yes, Andhra Pradesh, Anantapur, 1 year, 0.71, 0.71, NA, No, Foundation For Ecological Security, CSR00000637
