Jurisdiction,Type of Law,Citation,URL
Australia,Regulation,"Vehicle Standard (Australian Design Rule 97/00 - Advanced Emergency Braking for Omnibuses, and Medium and Heavy Goods Vehicles) 2022 (Cth)",https://perma.cc/RKC9-CWUK
Australia,Regulation,Vehicle Standard (Australian Design Rule 35/07 - Commercial Vehicle Brake Systems) 2022 (Cth),https://perma.cc/PDD8-V2EX
Brazil,Statute,"Código de Trânsito Brasileiro - Lei No. 9.503, de 23 de Setembro de 1997",https://perma.cc/ZSM5-C48H
Brazil,Resolution,"Resolução CONTRAN No. 919, de 28 de Março de 2022",https://perma.cc/93Z6-PJ8K
Brazil,Resolution,"Resolução CONTRAN No. 959, de 17 de Maio de 2022",https://perma.cc/G8KW-J2B4
Brazil,Resolution,"Resolução CONTRAN No. 993, de 15 de Junho de 2023",https://perma.cc/ZH5P-LVRA
Canada,Statute,"Motor Vehicle Safety Act, S.C. 1993, c. 16",https://perma.cc/W2P6-KBFC
Canada,Regulation,"Motor Vehicle Safety Regulations C.R.C., c. 1038",https://perma.cc/NY7D-HAY5
Canada,Compulsory Standard,Safety Standards for School Buses,https://perma.cc/VSN6-BZUK
China,Regulation,"Regulations of School Bus Safety (promulgated by the State Council on Apr. 5, 2012)",https://perma.cc/5UJ9-EZDY
