Caste/ethnicity,Population %,Sep. 2014
Chhetri,16.6,15.3
Bahun,12.1,13.2
Magar,7.1,7.5
Tharu,6.6,7.7
Tamang,5.8,6
Newar,4.9,5.3
Kami,4.8,4.6
Muslim,4.3,4.3
Yadav,3.9,4.7
Rai,2.3,2
Gurung,1.9,2.1
Dami/Pariyar,1.7,2
Thakuri,1.6,1.8
Limbu,1.4,1.4
Sarki/Mijar,1.4,0.9
Teli,1.3,1.9
Chamar,1.2,1.5
Koiri,1.1,2.5
Sanyasi,0.8,0.4
Kurmi,0.8,0.1
Dhanuk,0.8,0.5
Musahar,0.8,1
Dusahad/Pasawan,0.7,0.6
Mallaha,0.6,0.3
Kewat,0.5,0.4
Terai Bramhin,0.5,0.9
Baniya,0.5,0.8
Sherpa,0.4,0.2
Gharti/Bhujel,0.4,0.3
Kalwaar,0.4,0.3
