Original (Positive),DAE Transferred (Negative),VAE Transferred (Negative)
the food is excellent and theservice is exceptional,the food was a bit bad but the staff was exceptional,the food was bland and i am notthrilled with this
the waitresses are friendly andhelpful,the guys are rude and helpful,the waitresses are rude and arelazy
the restaurant itself is romantic and quiet,the restaurant itself is awkwardand quite crowded,the restaurant itself was dirty
great deal,horrible deal,no deal
both timesi have eaten thelunch buffet and it was out- standing,their burgers were decent butthe eggs were not the consis-tency,both times i have eaten here thefood was mediocre at best
Original (Negative),DAE Transferred (Positive),VAE Transferred (Positive)
the dessertswere very bland,the desserts were very good,the desserts were very good
it was a bed of lettuce andspinachwithsomeitalianmeats and cheeses,it was a beautiful setting and just had a large variety of ger-man flavors,it was a huge assortment of fla- vors and italian food
the people behind the counterwere not friendly whatsoever,the best selection behind theregister and service presenta-tion,the people behind the counter isfriendly caring
the interior is old and generally falling apart,the decor is old and now per-fectly,the interior is old and noble
they are clueless,they are stoked,they are genuinely profession-als
