"Years ended June 30,",Pension Benefits,Pension Benefits,Other Retiree Benefits,Other Retiree Benefits
Change in benefit obligation,,,,
Benefit obligation at beginning of year,,"$18,469",,"$4,206 $4,770"
Service cost,253,275,86,94
Interest cost,253,240,99,114
Participants' contributions,14,13,67,76
Amendments,5,34,(586),
Net actuarial loss/(gain),"(4,067)",(466),(586),(678)
Special termination benefits,4,17,1,2
Currency translation and other,"(1,720)","1,220",51,64
Benefit payments,(603),(625),(268),(236)
Benefit obligation at end of year,,"$12,608",,"$3,070 $4,206"
Change in plan assets,,,,
Fair value of plan assets at beginning of year,,"$13,041",,"$6,444 $5,618"
Actual return on plan assets,"(1,233)","1,058",526,879
Employer contributions,222,202,37,34
Participants' contributions,14,13,67,76
Currency translation and other,"(1,268)",909,1,2
ESOP debt impacts,,,82,71
Benefit payments,(603),(625),(268),(236)
Fair value of plan assets at end of year,"$10,173",,"6,889",
Funded status,"$(2,435)$ (5.428)",,3.819,$2.238
