"BALANCE at JUNE 30, 2020",Investment Securities,Post-retirement Benefit Plans,Foreign Currency Translation,Total AOCI
OCI before reclassifications,20,"1,046","1,023","2,089"
Amounts reclassified to the Consolidated Statement of Earnings,(4),340,—,336
Net current period OCI,16,"1,386","1,023","2,425"
Less: OCI attributable to non-controlling interests,—,(1),5,4
"BALANCE at JUNE 30, 2021",15,"(2,963)","(10,796)","(13,744)"
OCI before reclassifications,4,"2,797","(1,451)","1,350"
Amounts reclassified to the Consolidated Statement of Earnings,1,195,1,197
Net current period OCI,5,"2,992","(1,450)","1,547"
Less: OCI attributable to non-controlling interests,—,2,(10),(8)
"BALANCE at JUNE 30, 2022",20,27,"(12,236)","(12,189)"
