As of June 30,2022,2021
LONG-TERM DEBT,2.15% USD note due August 2022,"$1,250,$1,250"
LONG-TERM DEBT,2.00% EUR note due August 2022,"1,045,1,190"
LONG-TERM DEBT,3.10% USD note due August 2023,"1,000,1,000"
LONG-TERM DEBT,1.13% EUR note due November 2023,"1,306,1,488"
LONG-TERM DEBT,0.50% EUR note due October 2024,"523,595"
LONG-TERM DEBT,0.63% EUR note due October 2024,"836,952"
LONG-TERM DEBT,0.55% USD note due October 2025,"1,000,1,000"
LONG-TERM DEBT,2.70% USD note due February 2026,"600,600"
LONG-TERM DEBT,1.00% USD note due April 2026,"1,000,1,000"
LONG-TERM DEBT,2.45% USD note due November 2026,"875,875"
LONG-TERM DEBT,1.90% USD note due February 2027,"1,000,——"
LONG-TERM DEBT,2.80% USD note due March 2027,"500,500"
LONG-TERM DEBT,4.88% EUR note due May 2027,"1,045,1,190"
LONG-TERM DEBT,2.85% USD note due August 2027,"750,750"
LONG-TERM DEBT,1.20% EUR note due October 2028,"836,952"
LONG-TERM DEBT,1.25% EUR note due October 2029,"523,595"
LONG-TERM DEBT,3.00% USD note due March 2030,"1,500,1,500"
LONG-TERM DEBT,0.35% EUR note due May 2030,"523,——"
LONG-TERM DEBT,1.20% USD note due October 2030,"1,250,1,250"
LONG-TERM DEBT,1.95% USD note due April 2031,"1,000,1,000"
LONG-TERM DEBT,2.30% USD note due February 2032,"850,——"
LONG-TERM DEBT,5.55% USD note due March 2037,"716,716"
LONG-TERM DEBT,1.88% EUR note due October 2038,"523,595"
LONG-TERM DEBT,3.55% USD note due March 2040,"516,516"
LONG-TERM DEBT,0.90% EUR note due November 2041,"627,——"
LONG-TERM DEBT,All other long-term debt,"4,901,7,205"
LONG-TERM DEBT,Current portion of long-term debt,"3,647,3,620"
LONG-TERM DEBT,TOTAL,"$22,848,$23,099"
LONG-TERM DEBT,Long-term weighted average interest rates(1),"2.2%,2.0%"
