Title of each class,Trading Symbol,Name of each exchange on which registered
"Common Stock, without Par Value",PG,New York Stock Exchange
2.000% Notes due 2022,PG22B,New York Stock Exchange
1.125% Notes due 2023,PG23A,New York Stock Exchange
0.500% Notes due 2024,PG24A,New York Stock Exchange
0.625% Notes due 2024,PG24B,New York Stock Exchange
1.375% Notes due 2025,PG25,New York Stock Exchange
0.110% Notes due 2026,PG26D,New York Stock Exchange
4.875%EUR Notes due May 2027,PG27A,New York Stock Exchange
1.200% Notes due 2028,PG28,New York Stock Exchange
1.250% Notes due 2029,PG29B,New York Stock Exchange
1.800% Notes due 2029,PG29A,New York Stock Exchange
6.250% GBP Notes due January 2030,PG30,New York Stock Exchange
0.350% Notes due 2030,PG30C,New York Stock Exchange
0.230% Notes due 2031,PG31A,New York Stock Exchange
5.250% GBP Notes due January 2033,PG33,New York Stock Exchange
1.875% Notes due 2038,PG38,New York Stock Exchange
0.900% Notes due 2041,PG41,New York Stock Exchange
