Years ended June 30,2022,2021,2020,2019,2018
Diluted net earnings per share from continuing operations,$5.81,$5.50,$4.96,$1.43,$3.67
Early debt extinguishment charge,-,$0.16,,-,-
Incremental restructuring charges,-,-,$0.16,$0.13,$0.23
Gain on dissolution of PGT Healthcare partnership,-,-,-,$(0.13),-
Shave Care impairment,-,-,-,$3.03,-
Anti-dilutive impacts,-,-,-,$0.06,-
Transitional impacts of the U.S. Tax Act,-,-,-,-,$0.23
Core EPS,$5.81,$5.66,$5.12,$4.52,$4.22
Core EPS growth,3%,-,-,-,-
Currency Impact to Core Earnings,$0.11,,-,-,-
Currency neutral Core EPS,$5.92,,-,-,-
Currency neutral Core EPS growth,5%,-,-,-,-
