2020,"9,028","2,156","1,652",350,"7,726",338
Global Segment Results\tNet Sales\tEarnings/(Loss) Before Income Taxes\tNet Earnings /(Loss)\tDepreciation and Amortization\tTotal Assets\tCapital Expenditures,,,,,,
BEAUTY\t2022\t$ 14,740\t$ \t$ 3,946\t$ 3,160\t$ 348\t$ 6,055\t$ 331,,
\t2021\t14,417\t4,018\t3,210\t333\t5,587\t386,,
\t2020\t13,359\t3,437\t2,737\t320\t5,531\t397,,
GROOMING\t2022\t6,587\t1,835\t1,490\t361\t20,482\t260,,
\t2021\t6,440\t1,728\t1,427\t378\t20,668\t291,,
\t2020\t6,069\t1,613\t1,329\t406\t20,589\t305,,
HEALTH CARE\t2022\t10,824\t2,618\t2,006\t376\t7,888\t410,,
\t2021\t9,956\t2,398\t1,851\t372\t7,976\t364,,
\t2020\t9,028\t2,156\t1,652\t350\t7,726\t338,,
FABRIC & HOME CARE\t2022\t27,556\t5,729\t4,386\t672\t8,567\t988,,
\t2021\t26,014\t5,986\t4,622\t646\t8,334\t1,006,
FABRIC & HOME CARE,2022,"27,556","5,729","4,386",672,"8,567,988"
2021,"26,014","5,986","4,622",646,"8,334","1,006"
2020,"23,735","5,426","4,154",605,"7,745",887
"BABY, FEMININE & FAMILY CARE",2022,"19,736","4,267","3,266",826,"8,443,932"
2021,"18,850","4,723","3,629",846,"8,666",814
2020,"18,364","4,534","3,465",839,"8,628",764
CORPORATE,2022,744,(400),485,224,"65,773,235"
2021,441,"(1,238)",(387),160,"68,076",(74)
2020,395,"(1,332)",(234),493,"70,481",382
TOTAL COMPANY,2022,"$ 80,187","$ 17,995","$ 14,793","$ 2,807","$ 117,208,$ 3,156"
2021,"76,118","17,615","14,352","2,735","119,307","2,787"
2020,"70,950","15,834","13,103","3,013","120,700","3,073"
