,,,,,"Exhibit (10-5) of the Company's Form 10-Q for the quarter ended September 30, 2021).The Gillete Company Deferred Compensation Plan (Incorporated by reference to Exhibit (10-18)of the Company's",,,,,,,,,,
,,(10-15),(10-15),(10-15),"Exhibit (10-5) of the Company's Form 10-Q for the quarter ended September 30, 2021).The Gillete Company Deferred Compensation Plan (Incorporated by reference to Exhibit (10-18)of the Company's",,,,,,,,,,
,,,,,"Annual Report on Form 10-K for the year ended June 30, 2017)Senior Executive Recoupment Policy (Incorporated by reference to Exhibit (10-19)of the Company's Annual Report",,,,,,,,,,
,,(10-16),(10-16),(10-16),"Annual Report on Form 10-K for the year ended June 30, 2017)Senior Executive Recoupment Policy (Incorporated by reference to Exhibit (10-19)of the Company's Annual Report",,,,,,,,,,
,,,,,"on Form 10-K for the year ended June 30, 2018).",,,,,,,,,,
,,(10-17),(10-17),(10-17),"The Gillete Company Deferred Compensation Plan (for salary deferals prior to January 1,2005)as amended through",,,,,,,,,,
,,,,,"August 21,2006 (Incorporated by referenceto Exhibit (10-20)ofthe Company's Annual Report on Form 10-K for the",,,,,,,,,,
,,,,,"vear ended June 30. 2017).The Procter & Gamble 2009 Stock and Incentive Compensation Plan, which was originally adopted by shareholders at",,,,,,,,,,
,,(10-18) -,(10-18) -,(10-18) -,"vear ended June 30. 2017).The Procter & Gamble 2009 Stock and Incentive Compensation Plan, which was originally adopted by shareholders at",,,,,,,,,,
,,,,,"the anual meeting on October 13,209 (Incorporated by reference to Exhibit (10-21)of the Company'sAnnual Report",,,,,,,,,,
,,,,,on Form 10-K for the vear ended June 30. 2017).Regulations of the Compensation and Leadership Development Commitee for The Procter & Gamble 2009 Stock and,,,,,,,,,,
,,(10-19),(10-19),(10-19),on Form 10-K for the vear ended June 30. 2017).Regulations of the Compensation and Leadership Development Commitee for The Procter & Gamble 2009 Stock and,,,,,,,,,,
,,,,,"Incentive Compensation Plan, The Procter & Gamble 2001 Stock and Incentive Compensation Plan, The Procter &",,,,,,,,,,
,,,,,"Gamble 1992 Stock Plan,The Procter & Gamble 1992 Stock Plan (Belgium Version), The Gilette Company 2004",,,,,,,,,,
,,,,,Long-Term Incentive Plan and the Gillete Company 1971 Stock Option Plan (Incorporated by reference to Exhibit,,,,,,,,,,
,,,,,The Procter & Gamble 2009 Stock and Incentive Compensation Plan - Additional terms and conditions and related,,,,,,,,,,
,,(10-20) -,(10-20) -,(10-20) -,The Procter & Gamble 2009 Stock and Incentive Compensation Plan - Additional terms and conditions and related,,,,,,,,,,
,,,,,correspondence (Incorporated by_reference to Exhibit (10-2) of the Company Form 10-Q for thequarter ended,,,,,,,,,,
,,,,,December 31.2013).The Procter & Gamble Performance Stock Program Summary (Incorporated by reference to Exhibit (10-5) of the,,,,,,,,,,
,,(10-21) -,(10-21) -,(10-21) -,December 31.2013).The Procter & Gamble Performance Stock Program Summary (Incorporated by reference to Exhibit (10-5) of the,,,,,,,,,,
,,,,,"Company's Form 10-Q for the quarter ended September 30, 2020).",,,,,,,,,,
,,(10-22),(10-22),(10-22),Performance Stock Program related correspondence and terms and conditions (Incorporated by reference to Exhibit,,,,,,,,,,
,,,,,"(10-4) of the Company's Form 10-Q for the quarter ended September 30, 2021).The Procter & Gamble 2013 Non-Employee Directors' Stock Plan (Incorporated by reference to Exhibit (10-3) of the",,,,,,,,,,
,,(10-23) -,(10-23) -,(10-23) -,"(10-4) of the Company's Form 10-Q for the quarter ended September 30, 2021).The Procter & Gamble 2013 Non-Employee Directors' Stock Plan (Incorporated by reference to Exhibit (10-3) of the",,,,,,,,,,
,,,,,"Company's Form 10-Q for the quarter ended December 31, 2013).",,,,,,,,,,
