Years ended June 30,,Pension Benefits,,Other Retiree Benefits
Change in benefit obligation,,,,
Benefit obligation at beginning of year,,"$18,469",,"$4,206"
Service cost,,253,,86
Interest cost,,253,,99
Participants' contributions,,14,,67
Amendments,,5,,(586)
Net actuarial loss/(gain),,"(4,067)",,(586)
Special termination benefits,,4,,1
Currency translation and other,,"(1,720)",,51
Benefit payments,,(603),,(268)
Benefit obligation at end of year,,"$12,608",,"$3,070"
Change in plan assets,,,,
Fair value of plan assets at beginning of year,,"$13,041",,"$6,444"
Actual return on plan assets,,"(1,233)",,526
Employer contributions,,222,,37
Participants' contributions,,14,,67
Currency translation and other,,"(1,268)",,1
ESOP debt impacts,,—,,82
Benefit payments,,(603),,(268)
Fair value of plan assets at end of year,,"$10,173",,"$6,889"
Funded status,,"$(2,435)",,"$3,819"
