Other comprehensive income/(loss),"2,421",4,"2,425"
Dollars in millions except per share amounts; shares in thousands\tCommon Stock\tPreferred Stock\tAdditional Paid-In Capital\tReserve for ESOP Debt Retirement\tAccumulated Other Comprehensive Income/(Loss)\tTreasury Stock\tRetained Earnings\tNon-controlling Interest\tTotal Shareholders' Equity,,,
BALANCE JUNE 30,2019\tShares\tAmount\t$928\t$63,827\t($1,"146)\t($14,936)\t($100,406)\t$94,918\t$385\t$47,579"
Net earnings\t\t\t\t\t\t\t13,027\t76\t13,103,
Other comprehensive income/(loss)\t\t\t\t\t\t\t(1,229)\t\t\t(1,245),
Dividends and dividend equivalents ($3.0284 per share):\t\t\t\t\t\t\t\t\t\t\t\t,,,
Common\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,
Dividends and dividend equivalents ($3.2419 per share):,,,
Common,"(8,020)","(8,020)","(8,020)"
Preferred,(271),(271),(271)
Treasury stock purchases,"(81,343)","(11,009)","(11,009)"
Employee stock plans,"28,001",650,"1,586,2,236"
Preferred stock conversions,"3,302",(27),"4,23"
ESOP debt impacts,74,120,194
"Noncontrolling interest, net",(131),(131),(131)
"BALANCE JUNE 30, 2021","2,429,706","$4,009","$870,$64,848,($1,006),($13,744),($114,973),$106,374,$276,$46,654"
Net earnings,"14,742",51,"14,793"
Other comprehensive income/(loss),"1,555",(8),"1,547"
Dividends and dividend equivalents ($3.5227 per share):,,,
Common,"(8,514)","(8,514)","(8,514)"
Preferred,(281),(281),(281)
Treasury stock purchases,"(67,088)","(10,003)","(10,003)"
Employee stock plans,"28,042",945,"1,571,2,516"
Preferred stock conversions,"3,217",(27),"4,23"
ESOP debt impacts,90,108,198
"Noncontrolling interest, net",(2),(54),(56)
"BALANCE JUNE 30, 2022","2,393,877","$4,009","$843,$65,795,($916),($12,189),($123,382),$112,429,$265,$46,854"
ESOP debt impacts\t90\t108\t198,,,
Noncontrolling interest,net\t(2)\t(54)\t(56),,
BALANCE JUNE 30,2022\t2,393,"877\t$4,009\t$843\t$65,795\t$(916)\t$(12,189)\t$(123,382)\t$112,429\t$265\t$46,854"
