Reportable Segments,% of Net Sales (1),% of Net Earnings (1),Product Categories (Sub-Categories),Major Brands
Beauty,18%,22%,Hair Care (Conditioner,"Shampoo,Styling Aids,Treatments),Head & Shoulders,Herbal Essences,Pantene,Rejoice"
Beauty,,Skin and Personal Care (Antiperspirant and Deodorant, Personal Cleansing,"Skin Care),Olay,Old Spice,Safeguard,Secret,SK-II"
Grooming,8%,10%,Grooming (2) (Shave Care - Female Blades & Razors,"Male Blades & Razors,Pre- and Post-Shave Products,Other Shave Care; Appliances),Braun,Gillette,Venus"
Health Care,14%,14%,Oral Care (Toothbrushes,"Toothpaste,Other Oral Care),Crest,Oral-B"
Health Care,,Personal Health Care (Gastrointestinal, Rapid Diagnostics,"Respiratory,Vitamins/Minerals/Supplements,Pain Relief,Other Personal Health Care),Metamucil,Neurobion,Pepto-Bismol,Vicks"
Fabric & Home Care,35%,31%,Fabric Care (Fabric Enhancers,"Laundry Additives,Laundry Detergents),Ariel,Downy,Gain,Tide"
Fabric & Home Care,,Home Care (Air Care, Dish Care,"P&G Professional,Surface Care),Cascade,Dawn,Fairy,Febreze,Mr. Clean,Swiffer"
Baby, Feminine & Family Care,25%,23%,"Baby Care (Baby Wipes,Taped Diapers and Pants),Luvs,Pampers"
Baby, Feminine & Family Care,,Feminine Care (Adult Incontinence,"Feminine Care),Always,Always Discreet,Tampax"
Baby, Feminine & Family Care,,Family Care (Paper Towels,"Tissues,Toilet Paper),Bounty,Charmin,Puffs"
