Years ended June 30,Pension Benefits (1),Pension Benefits (1),Other Retiree Benefits (2),Other Retiree Benefits (2)
Years ended June 30,2022,2021,2022,2021
CHANGE IN BENEFIT OBLIGATION,,,,
Benefit obligation at beginning of year (3),,,"$ 18,469 $ 17,761$4,206 $4,770",
Service cost,253,275,86,94
Interest cost,253,240,99,114
Participants'contributions,14,13,67,76
Amendments (5),5,34,(586),
Net actuarial loss/(gain),"(4,067)",(466),(586),(678)
Special termination benefits,4,17,1,2
Currency translation and other,"(1,720)","1,220",51,64
Benefit payments,(603),(625),(268),(236)
BENEFIT OBLIGATION AT END OF YEAR (3),,,"$ 12,608 $ 18,469 $ 3,070 $ 4,206",
CHANGE IN PLAN ASSETS,,,,
Fair value of plan assets at beginning of year,"$ 13,041 $ 11,484 $ 6,444 $ 5,618",,,
Actual return on plan assets,"(1,233)","1,058",526,879
Employer contributions,222,202,37,34
Participants' contributions,14,13,67,76
Currency translation and other,"(1,268)",909,1,2
ESOP debt impacts (4),,,82,71
Benefit payments,(603),(625),(268),(236)
FAIR VALUE OF PLAN ASSETS AT END OF YEAR,"$ 10,173 $ 13,041$",,"6,889 $","6,444"
FUNDED STATUS,S(2.435)$ (5.428)S,,3.819,$2.238
