As of June 30 2022,2021
DEFERRED TAX ASSETS,
Loss and other carryforwards,"914 1,030"
Pension and other retiree benefits $,"740 $ 1,476"
Capitalized research & development,646 358
Accrued marketing and promotion,420 424
Stock-based compensation,386 386
Fixed assets,209 223
Lease liabilities,185 196
Unrealized loss on financial and foreign exchange transactions,138 109
Advance payments,82
Inventory,41 31
Accrued interest and taxes,22 22
Other,717 878
Valuation allowances,(409) ）(569)
TOTAL,"$ 4,091 $ 4,564"
