Years ended June 30,,Pension Benefits,,Other Retiree Benefits
Service cost,,$ 253,,$ 86
Interest cost,,253,,99
Expected return on plan assets,,(684),,(564)
Amortization of net actuarial loss,,337,,11
Amortization of prior service cost/(credit),,28,,(107)
Amortization of net actuarial (gain)/loss due to settlements,,(5),,—
Special termination benefits,,4,,1
GROSS BENEFIT COST/(CREDIT),,186,,(474)
Dividends on ESOP preferred stock,,—,,—
NET PERIODIC BENEFIT COST/(CREDIT),,$ 186,,$ (474)
CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,,,,
Net actuarial loss/(gain) - current year,,"$ (2,150)",,$ (548)
Prior service cost/(credit) - current year,,5,,—
Amortization of net actuarial loss,,(337),,(11)
Amortization of prior service (cost)/credit,,(28),,107
Amortization of net actuarial loss/(gain) due to settlements,,5,,—
Currency translation and other,,(486),,13
TOTAL CHANGE IN AOCI,,"(2,991)",,"(1,025)"
NET AMOUNTS RECOGNIZED IN PERIODIC BENEFIT COST/(CREDIT) AND AOCI,,"$ (2,805)",,"$ (1,499)"
