Earnings/(Loss),Earnings/(Loss),Earnings/(Loss),Earnings/(Loss),Depreciation Net Earnings,Depreciation Net Earnings,Depreciation Net Earnings,Depreciation Net Earnings,Total Capital,Total Capital
Global Segment Results,,Net Sales,Before Income Taxes,/(Loss),and Amortization,,Assets,Expenditures,
BEAUTY,,"2022 $ 14,740 $","3,946 $","3,160",$,"348 $ 6,055",$,331,
,2021,"14,417","4,018","3,210",333,,"5,587",386,
,2020,"13,359","3,437","2,737",,320,"5,531",397,
GROOMING,2022,"6,587","1,835","1,490",,361,"20,482",260,
,2021,"6,440","1,728","1,427",,378,"20,668",291,
HEALTH CARE,2020,"6,069","1,613","1,329",,406,"20,589",305,
,2022,"10,824","2,618","2,006 1,851",,376,"7,888",410,
,2021,"9,956","2,398","1,652",,372,"7,976",364,
FABRIC & HOME CARE,2020,"9,028","2,156","4,386",,350 672,"7,726",338,
,2022,"27,556","5,729 5,986","4,622",,,"8,567",988,
,2021 2020,"26,014 23,735","5,426","4,154",,646 605,"8,334 7,745","1,006 887",
"BABY, FEMININE &",,,,,,,,,
FAMILY CARE,2022,"19,736","4,267","3,266",,826,"8,443",932,
,2021,"18,850","4,723","3,629",,846,"8,666",814,
,2020,"18,364","4,534","3,465",,839,"8,628",764,
CORPORATE,2022,744,(400),485,,224,"65,773",235,
,2021,441,"(1,238)",(387),,160,"68,076",(74),
,2020,395,"(1,332)",,(234),493,"70,481",382,
TOTAL COMPANY,,"2022 $ 80,187 $",,"17,995 $ 14,793 $ 2,807",,,"$117,208","$3,156",
,2021,"76,118","17,615","14,352",,"2,735","119,307","2,787",
,2020,"70,950","15,834","13,103",,"3,013","120,700","3,073",
