As of June 30,2022,2021
Deferred Tax Assets,914,1030
Loss and other carryforwards,$740,"$1,476"
Pension and other retiree benefits,646,358
Capitalized research & development,420,424
Accrued marketing and promotion,386,386
Stock-based compensation,209,223
Fixed assets,185,196
Lease liabilities,138,109
Unrealized loss on financial and foreign exchange transactions,82,"—""Advance payments"",41,31"
Inventory,22,22
Accrued interest and taxes,717,878
Other,"—""Valuation allowances""","409,569"
Total,$4,"091,$4,564"
