Accumulated Other,Accumulated Other,Accumulated Other,Accumulated Other,Accumulated Other,Accumulated Other,Accumulated Other,Accumulated Other,,
Dollars in millions except per share amounts:,Common Stock,Common Stock,Additional Preferred Paid-In,Reserve for ESOP Debt,Comp- rehensive Income/,Treasury,Retained,Non- controlling,Total Share- holders'
shares in thousands,Shares,Amount,Stock $928,"Capital Retirement $63,827",(Loss),"Stock ($14,936) ($100,406) $94,918",Earnings,Interest,"Equity $385 $47,579"
"BALANCE JUNE 30, 2019 Net earnings","2,504,751","$4,009",,"($1,146)",,,"13,027",,"7613,103"
Other comprehensive,,,,,"(1,229)",,,,"(16) (1,245)"
income/(loss) Dividends and dividend equivalents ($3.0284 per,,,,,,,,,
share):,,,,,,,,,
Common Preferred,,,,,,,"(7,551)",,"(7,551)"
Treasury stock purchases,"(61,346",,,,,"(7,405)",(263),,(263)
Employee stock plans,32.603,,,362,,"2,212",,,"(7,405)"
Preferred stock conversions,,,(31),5,,26,,,2.574
,"3,738",,,,66,,108,,174
"ESOP debt impacts Noncontrolling interest, net",,,,,,,,（(88）,(88）
"BALANCE JUNE 30, 2020 2,479,746",,"$4,009",,"$897$64,194($1,080)",,"($16,165) ($105,573)$100,239",,,"$357 $46,878"
Net earnings,,,,,,,"14,306",,"4614,352"
Other comprehensive income/(loss),,,,,"2,421",,,4,"2,425"
Dividends and dividend equivalents ($3.2419 per share):,,,,,,,,,
Common,,,,,,,(8.020),,"(8,020)"
Preferred,,,,,,,(271),,(271)
Treasury stock purchases,"(81,343)",,,,,"(11,009)",,,"(11,009)"
Employee stock plans,"28,001",,,650,,"1,586",,,"2,236"
Preferred stock conversions,3.302,,(27),4,,23,,,
ESOP debt impacts,,,,,74,,120,,194
"Noncontrolling interest, net",,,,,,,,(131),(131)
"BALANCE JUNE 30, 2021 2,429,706",,"$4,009","$870$64,848",,"($1,006)","($13,744) ($114,973)$106,374",,,"$276 $46,654"
Net earnings Other comprehensive,,,,,,,"14,742",,"5114,793"
income/(loss) Dividends and dividend,,,,,,"1,555",,,"(8）1,547"
equivalents ($3.5227 per share):,,,,,,,,,
Common Preferred,,,,,,,"(8,514)",,"(8,514)"
Treasury stock purchases,"(67,088)",,,,,"(10,003)",(281),,"(281) (10,003)"
Employee stock plans,"28,042",,,945,,"1,571",,,"2,516"
Preferred stock conversions,"3,217",,(27),4,,23,,,
ESOP debt impacts,,,,,90,,108,,198
"Noncontrolling interest, net",,,,(2),,,,(54),(56)
"BALANCE JUNE 30,2022 2,393,877",,"$4,009","$843$65,795",,($916),"($12,189) ($123,382)$112,429",,"$265 $46,854",
