Name,Position,Age,First Elected to Officer Position
Jon R. Moeller,"Chairman of the Board, President and Chief Executive Officer",58,2009 (1)
Shailesh Jejurikar,Chief Operating Officer,55,2018 (2)
Andre Schulten,Chief Financial Officer,51,2021 (3)
Gary A. Coombe,Chief Executive Officer - Grooming,58,2014 (4)
Jennifer L. Davis,Chief Executive Officer - Health Care,51,2022 (5)
Ma.Fatima D.Francisco,"Chief Executive Officer - Baby, Feminine and Family Care and Executive Sponsor for Gender Equality",54,2018 (6)
R.Alexandra Keith,Chief Executive Officer - Beauty and Executive Sponsor for Corporate Sustainability,54,2017 (7)
Sundar Raman,Chief Executive Officer - Fabric and Home Care,47,2021(8)
Victor Aguilar,"Chief Research, Development and Innovation Officer",55,2020 (9)
M. Tracey Grabowski,Chief Human Resources Officer,54,2018 (10)
Marc S.Pritchard,Chief Brand Officer,62,2008
Susan Street Whaley,Chief Legal Officer and Secretary,48,2022 (11)
