Years ended June 30,2022,2021,2020
CONSOLIDATED AMOUNTS,Net earnings,"$ 14,793","$ 14,352,$ 13,103"
CONSOLIDATED AMOUNTS,Less: Net earnings attributable to noncontrolling interests,51,"46,76"
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G,"14,742","14,306,13,027"
CONSOLIDATED AMOUNTS,Less: Preferred dividends,281,"271,263"
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G available to common shareholders (Basic),"14,461","14,035,12,764"
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G available to common shareholders (Diluted),"14,742","14,306,13,027"
SHARES IN MILLIONS,Basic weighted average common shares outstanding,2410.3,"2465.8,2487.1"
SHARES IN MILLIONS,Add effect of dilutive securities:,,
SHARES IN MILLIONS,Stock options and other unvested equity awards (1),49.5,"52.5,52.7"
SHARES IN MILLIONS,Convertible preferred shares (2),79.3,"82.7,86.0"
SHARES IN MILLIONS,Diluted weighted average common shares outstanding,2539.1,"2601.0,2625.8"
NET EARNINGS PER SHARE (3),Basic,6.00,"5.69,5.13"
NET EARNINGS PER SHARE (3),Diluted,5.81,"5.50,4.96"
