Consolidated ($000s),Note,2020,2019
Cash flows from operating activities,Profit,"11,221","37,042"
Adjustments for:,Depreciation,"50,441","9,838"
Adjustments for:,Impairment charges,"6,117",-
Adjustments for:,Loss on sale of property, plant and equipment,"241,241"
Adjustments for:,Share based payments,(577),586
Adjustments for:,Fair value adjustment to derivatives,C4,"(38),89"
Adjustments for:,Net finance costs,"4,707",-
Adjustments for:,Exchange differences,"2,968",628
Adjustments for:,75,080,"48,424"
Adjustments for:,Change in inventories,"1,055","(7,824)"
Adjustments for:,Change in trade and other receivables,(463),"(2,532)"
Adjustments for:,Change in deferred tax assets,"(2,972)","(1,837)"
Adjustments for:,Change in trade and other payables,"(1,428)","11,912"
Adjustments for:,Change in current tax liabilities,"2,632","(5,273)"
Adjustments for:,Change in provisions and employee benefits,935,"3,358"
Adjustments for:,Change in make-good provision,(717),-
Adjustments for:,Change in deferred tax asset on share trust consolidation entries,"5,878",-
Adjustments for:,Net cash from operating activities,"80,000","46,228"
