Valuation of Inventories ($21.7m),Valuation of Inventories ($21.7m)
Refer to Note B2 to the Financial Report,Refer to Note B2 to the Financial Report
Thekeyauditmatter,How the matter was addressed in our audit
A key audit matter for us was the Group's valuation of inventories due to the:,Our procedures included: Evaluating the appropriateness of the Group's inventory
relative size of inventories (being 8.3% of total assets within the Group's consolidated statement of financial position). judgement we applied to assess the . Group's provisioning for obsolete inventory.The Group sells fashion jewelleryand is therefore subject to,"provisioning policies against the requirements of the accounting standards. Assessing the historical accuracy of the Group's inventory provision against actual outcomes,to inform our evaluation of the current year provisioning and key"
"changing consumer demands and fashion trends.This increases the risk that,as trends change,products may either need to be sold ata discount below their recorded cost,or ultimately disposed of for zero value.Estimating the level of provisioning for obsolete inventory by the Group at product level,and therefore the value of","judgements; Challenging the Group's judgements within their obsolete inventory provisioning,particularly the extent to which aged and seasonal inventory can be sold, taking into account our knowledge of the industry and past Group performance; Analysing current and historic trends in inventory turnover and ageing to identify indicators of slow- moving or obsolete inventory and therefore those"
"inventories,requires consideration of the ageing and condition of products on hand,historic trends in write-offs, inventory turnover,seasonality of inventory and anticipated future sales.","inventory items at higher risk of obsolescence.We compared this to the Group's inventory ageing report. Checking the integrity of the Group's inventory ageing report at 28 June 2020,as a key input used in the obsolete inventory provisioning,by comparing on a"
"Such judgements may have a significant impact on the Group's provisioning,and therefore the overall carrying value of inventories, necessitating our audit effort thereon. Group's policy for the shrinkage provision is calculated based on the",sample basis inventory age per the report to purchase invoices. Attending a sample of inventory counts across the Group's store and warehouse locations - to observe the condition of a sample of products held.
,We did this to check the condition of products assumed in their recorded inventory value. - to observe the Group's shrinkage process.
inventory counts performed and expected misappropriation of,
inventories as a percentage of sales.,"Analysing the inventory shrinkage provision levels by region against sales,including against historical trends."
We focus on the shrinkage,
provisioning calculation which is largely manual and is therefore at greater risk,Assessing the integrity of the provisioning calculations. C
of error.,This included checking the accuracy of the formulas within the calculations.
,"Comparing a statistical sample of inventory product values recorded by the Group at year-end, to the Group's post year-end recommended retail selling prices to identify products at risk of selling below cost."
