Consolidated ($000s),Note,2020
Cost,,
Balance at 1 July 2019,,
Recognition of right-of-use asset on initial application of AASB 16,,"138,403"
Adjusted balance at 1 July 2019,,"138,403"
Additions,,"48,793"
Re-measurement of lease liabilities,,"1,698"
Disposals,,
Effect of movements in exchange rates,,"(1,755)"
Balance at 28 June 2020,,"187,139"
Consolidated ($000s),Note,2020
Accumulated depreciation and impairment losses,,
Balance at 1 July 2019,,
Recognition of right-of-use asset on initial application of AASB 16,,
Adjusted balance at 1 July 2019,,
Depreciation and impairment charges for the year,,"(37,454)"
Disposals,,
Effect of movements in exchange rates,,779
Balance at 28 June 2020,,"(36,675)"
Carrying amounts,,
At 1 July 2019,,"138,403"
At 28 June 2020,,"150,464"
