,Statement of financial position,Statement of financial position,Statement of profit or loss,Statement of profit or loss
Consolidated ($000s),2020,2019,2020,2019
"Property,plant and equipment",831,"1,681",453,"(1,024)"
Employee benefits,"1,216","1,485",281,(322)
Provisions,"1,254",902,(326),259
Other items,"1,664",505,571,90
Transaction costs,=,,,235
Carry forward tax losses,"4,379","1,799",(586),"（1,030)"
Deferred tax expense,-,■,393,"(1,792)"
Net deferred tax assets,"9,344",6372,,
Presented in the Statement of financial position as follows:,,,,
Deferred tax assets,"9,344",6.372,,
