Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,
Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,Actual Actual ChangeConsolidated 2020 2019 2019/2020$'000 $'000 %,$'000
Trade receivables and prepayments,"7,876","7,413",6.2%,
Inventories,"21,714","22,769",（4.6%),
Trade payables and provisions,"(26,518)","(37,576)",(29.4%),
Net working capital,"3,072","（7,394)",(141.5%),
Net lease liabilities,"(16,689)",：,100%,
"Property, plant&equipment","46,099","38,418",20.0%,
Intangible assets and goodwill,"3,882","4,418",(12.1%),
Total funds employed,"36,364","35,442",2.6%,
Net cash,"20,434","11,192",82.6%,
Net derivative asset/(liability),207,645,167.9%）,
Net deferred tax balances,"9,344","6,372",46.6%,
Net assets/equity,"58,368","53,651",8.8%,
