Consolidated ($000s),Note,2020,2019
Cash flows from operating activities,,Profit,
Adjustments for:,,Depreciation,
Adjustments for:,,Impairment charges,
Adjustments for:,,"Loss on sale of property, plant and equipment",
Adjustments for:,,Share based payments,
Adjustments for:,,Fair value adjustment to derivatives,C4
Adjustments for:,,Net finance costs,
Adjustments for:,,Exchange differences,
Adjustments for:,,,
Adjustments for:,,Change in inventories,
Adjustments for:,,Change in trade and other receivables,
Adjustments for:,,Change in deferred tax assets,
Adjustments for:,,Change in trade and other payables,
Adjustments for:,,Change in current tax liabilities,
Adjustments for:,,Change in provisions and employee benefits,
Adjustments for:,,Change in make-good provision,
Adjustments for:,,Change in deferred tax asset on share trust consolidation entries,
Adjustments for:,,Net cash from operating activities,
