Consolidated ($000s),28 June 2020,30 June 2019
Assets,,
Assets,Cash and cash equivalents,"8,296,979"
Assets,Trade and other receivables,"53,964,39,577"
Assets,Inventories,"9,694,12,123"
Assets,Current tax receivables,-
Assets,Derivatives,"207,645"
Total current assets,"72,161","53,680"
Assets,Deferred tax assets,"3,424"
Assets,"Property, plant and equipment","13,984"
Assets,Right-of-use asset,"49,940"
Assets,Investments,"210,000"
Total non-current assets,"277,348","227,439"
Total assets,"349,509","281,119"
Liabilities,,
Liabilities,Bank overdraft,-
Liabilities,Trade and other payables,"13,225"
Liabilities,Employee benefits - current,"1,991"
Liabilities,Lease liability - current,"15,941"
Liabilities,Current tax liabilities,"2,167"
Liabilities,Provisions - current,"452,696"
Total current liabilities,"33,776","22,299"
Liabilities,Employee benefits - non-current,"1,244"
Liabilities,Lease liability - non-current,"39,137"
Liabilities,Provisions - non current,984
Total non-current liabilities,"41,365","2,700"
Total liabilities,"75,141","24,999"
Net assets,"274,368","256,120"
Equity,,
Equity,Issued capital,"213,877"
Equity,Common control reserve,925
Equity,Share based payments reserve,"8,597"
Equity,Cash flow hedge reserve,"201,553"
Equity,Retained earnings,"50,768"
Total equity,"274,368","256,120"
