Consolidated ($000s),2020,2019
Profit before tax from continuing operations,"20,862","52,618"
Tax at the Australian tax rate of 30% (2019: 30%),"6,259","15,785"
Effect of tax rates in foreign jurisdictions,40,（515)
Non-deductible expenses,21,379
Tax exempt income,(64),(34)
Utilisation of carried-forward tax losses,-,
Recognition of tax efect of previously unrecognised tax losses,(423),(313)
Current year losses for which no deferred tax asset is recognised,"2,435",761
Other movements,900,（590)
Changes in estimate related to prior years,473,102
Total non temporary differences,"9,641","15,575"
Temporary differences,,
Amounts recognised in OCl,"(6,510)","(2,052)"
Net movement in deferred tax balances,"2,972","1,837"
Total temporary differences,"(3,538)",(215)
Income taxes payable for the currentfinancial year,"6,103","15,360"
Income taxes payable at the beginning of the year,"1,261","6,534"
Less: tax paid during the year,"(3,471)","(20,633)"
Income taxes payable as at year end,"3,893","1,261"
Represented in the Statement of financial position by:,,
Current tax liabilities,"3,893","1,261"
Current tax assets,,
,"3,893","1,261"
