Consolidated ($000s),Site restoration,Straight line rent and lease incentive,Return provision,Onerous lease,Total
Balance at 1 July 2019,3138,5210,246,8,8602
Derecognition of balances on initial application of AASB 16,,-5210,-,(8),-5218
Adjusted balance at 1 July 2019,3138,-,246,-,3384
Provisions made during the year,733,-,588,-,1321
Provisions used during the year,,-,(511),-,511
Effect of movement in exchange rates,-208,-,296,-,88
Balance at 28 June 2020,3663,-,619,-,4282
Current,897,-,619,-,1516
Non-current,2766,-,-,-,2766
3663,-,619,-,4282,
