,Performance Rights/Options granted,Performance Rights/Options granted,Performance Rights/Options granted,Included inRemuneration$,% vested inthe period,% forfeitedintheperiod,Financial period inwhich grant vests
,Number,Value$,Performance period commences,Included inRemuneration$,% vested inthe period,% forfeitedintheperiod,Financial period inwhich grant vests
S Fallscheer,,,,,,,
FY18 LTIP,"1,308,901","500,000",3 July 2017,"(333,333)",,100%,28 June 2020
FY19 LTIP,"2,564,103","8,000,000",2 July 2018,"(133,333)",,-,27June 2021
FY20 LTIP,"956,328","3,000,000",1 July 2019,"150,000",,,3 July 2022
C Lauder,,,,,,,
FY18 LTIP,"337,553","160,000",3 July 2017,"(96,000)",,100%,28 June 2020
FY19 LTIP,"76,923","210,000",2 July 2018,"(17,500)",,=,27 June 2021
FY20 LTIP,"70,131","220,000",1July 2019,"11,000",,,3 July 2022
