Consolidated ($),2020,2019
a) KPMG,,
a) KPMG,Audit and review services,
a) KPMG,Audit and review services,Auditors of the Company - KPMG Australia
a) KPMG,Audit and review services,Network firms of KPMG Australia
a) KPMG,Audit and review services,Total remuneration for audit and review services
a) KPMG,Other services,
a) KPMG,Other services,Auditors of the Company - KPMG Australia
a) KPMG,Other services,Network firms of KPMG Australia
a) KPMG,Other services,Total remuneration for other services
a) KPMG,,Total remuneration of KPMG
b) Non-KPMG audit firms,,
b) Non-KPMG audit firms,Audit and review services,
b) Non-KPMG audit firms,Audit and review services,Total remuneration for audit and review services
b) Non-KPMG audit firms,Other services,
b) Non-KPMG audit firms,Other services,"In relation to other assurance, taxation and due diligence services"
b) Non-KPMG audit firms,Other services,Total remuneration for other services
b) Non-KPMG audit firms,,Total remuneration of non-KPMG audit firms
Total auditors remuneration,,
