Consolidated ($000s),2020,2019
Revenue,"136,473","154,849"
Cost of sales,"(52,494)","(46,836)"
Gross profit,"83,979","108,013"
Salaries and employee benefits expense,"(34,794)","(42,170)"
Property expenses,"(4,176)","(19,081)"
Distribution costs,(872),"(1,556)"
Depreciation,"(18,789)","(3,765)"
"Loss on disposal of property, plant and equipment",(64),(6)
Other income/(expenses),"2,098","1,763"
Dividend income,"7,340","3,454"
Finance income,,"5,21"
Finance costs,"(1,521)",(297)
Profit before tax,"33,206","46,376"
Tax expense,"(8,127)","(12,024)"
Profit after tax,"25,079","34,352"
"Other comprehensive income for the year, net of tax",-,-
"Total comprehensive income for the year, net of tax","25,079","34,352"
Retained earnings at beginning of year,"41,555","41,056"
Impact of change in accounting policy,-,(72)
Dividends recognised during the year,"(15,866)","(33,781)"
Retained earnings at end of year,"50,768","41,555"
