,Year,Short Term Employment Benefits,Short Term Employment Benefits,Short Term Employment Benefits,post-EmploymentBenefits,Long TermBenefits,shareBasedPayments,OtherBenefits,
,Year,Salary &Fees (),Non-monetarybenefits($),Performancebasedpayment ($),SuperContributions($),Annual& LongServiceLeave ($),Options/Rights (S),TerminationBenefits ($),Total ($)
NON-EXEC DIRECTORS,NON-EXEC DIRECTORS,,,,,,,,
B Blundy,2020,"150,000",,,,,,,"150,000"
,2019,"100,000",,,,,,,"100,000"
M Kay(1),2020,：,,,,,,,
,2019,"45,662",,,"4,338",,,,"50,000"
T Blundy,2020,"54,499",,,"25,501",,,,"80,000"
,2019,"54,795",,,"25,205",,,,"80,000"
JKing,2020,"73,246",,,"6,754",,,,"80,000"
,2019,"73,059",,,"6,941",,,,"80,000"
JArmstrong（2),2020,"73,246",,,"6,754",,,,"80,000"
,2019,"56,012",,,"5,321",,,,"61,333"
SJAlt,2020,"63,333",,,=,,,,"63,333"
,2019,"20,000",,,,,,,"20,000"
N van derMerwe,2020,=,,,,,,,
,2019,,,,,,,,
TOTALNON-EXECDIRECTORS,2020,"414,324",,,"39,009",,,,"453,333"
,2019,"349,528",,,"41,805",,,,"391,333"
EXEC DIRECTORS,EXEC DIRECTORS,,,,,,,,
S Fallscheer,2020,"1,341,286","27,091",,"24,327","146,396","(316,667)",,"1,222,433"
,2019,"1,282,749","27,841",,"25,000","190,923","433,360",,"1,959,873"
OTHER KMP,,,,,,,,,
C Lauder,2020,"379,723",=,,"24,257","42,834","(102,500)",,"344,314"
,2019,"376,831",,,"24,731","38,328","81,500",,"521,390"
TOTAL EXEC,2020,"1,721,009","27,091",,"48,584","189,230","(419,167)",,"1,566,747"
,2019,"1,659,580","27,841",,"49,731","229,251","514,860",,"2,481,263"
