Consolidated ($000s),Note,2020,2019
Cash flows from operating activities,,,
Profit,,"11,221","37,042"
Adjustments for:,,,
Depreciation,,"50,441","9,838"
Impairment charges,,"6,117",
"Loss on sale of property,plant andequipment",,241,241
Share based payments,,(577),586
Fair value adjustment to derivatives,C4,(38),89
Net finance costs,,"4,707",-
Exchangedifferences,,"2,968",628
,,"75,080","48,424"
Change in inventories,,"1,055",（7.824)
Change in trade and other receivables,,(463),"(2,532)"
Change in deferred tax assets,,"(2,972)","(1,837)"
Change in trade and other payables,,"(1,428)","11,912"
Change in current tax liabilities,,"2,632","（5,273)"
Change in provisions and employee benefits,,935,"3,358"
Change in make-good provision,,(717),
Change in deferred tax asset on share trust consolidation entries,,"5,878",
Net cash from operating activities,,"80,000","46,228"
