Consolidated ($000s),Note,Share Capital,Common Control Reserve,Retained Earnings,Share Based Payments Reserve,Cash Flow Hedge Reserve,Foreign Currency Translation Reserve,Total Equity
Balance at 2 July 2018,,"208,526","-208,906","43,352",896,"1,250",124,"45,242"
Impact of change in accounting policy,,-,-,-150,-,-,-,-150
Total comprehensive income for the year,,-,-,"37,043",-,-,-,"37,043"
Profit,,-,-,"37,043",-,-,-,"37,043"
Cash flow hedges,,-,-,-,-,-697,-,-697
Foreign operations - foreign currency translation differences,,-,-,-,-,-,"2,329","2,329"
Total comprehensive income for the year,,-,-,"80,245",896,553,"2,453","83,767"
Capital contributions,C1,"1,265",-,-,-,-,-,"-1,265"
Employee share schemes,D3,-,-,-,"2,400",-,-,"-2,400"
Dividends,A7,-,-,"-33,781",-,-,-,"-33,781"
Total transactions with owners of the Company,,"1,265",-,"-33,781","2,400",-,-,"-30,116"
Balance at 30 June 2019,,"209,791","-208,906","46,464","3,296",553,"2,453","53,651"
Balance at 1 July 2019,,"209,791","-208,906","46,464","3,296",553,"2,453","53,651"
Total comprehensive income for the year,,-,-,"11,221",-,-,-,"11,221"
Profit,,-,-,"11,221",-,-,-,"11,221"
Cash flow hedges,,-,-,-,-,-352,-,-352
Foreign operations - foreign currency translation differences,,-,-,-,-,-,327,327
Total comprehensive income for the year,,-,-,"57,685","3,296",201,"2,780","64,847"
Capital contributions,C1,"4,086",-,-,-,-,-,"-4,086"
Employee share schemes,D3,-,-,-,"5,301",-,-,"-5,301"
Dividends,A7,-,-,"-15,866",-,-,-,"-15,866"
Total transactions with owners of the Company,,"4,086",-,"-15,866","5,301",-,-,"-6,479"
Balance at 28 June 2020,,"213,877","-208,906","41,819","8,597",201,"2,780","58,368"
