LeaseholdConsolidated ($000s) Note improvements,LeaseholdConsolidated ($000s) Note improvements,LeaseholdConsolidated ($000s) Note improvements,Hardware and Fixtures andsoftware fittings Total,Hardware and Fixtures andsoftware fittings Total,Hardware and Fixtures andsoftware fittings Total
Depreciation policy,,Lease term,3years,3years,
Cost,,,,,
Balance at 2 July 2018,,"40,670","3,614","1,716","46,000"
Additions,,"22,308",2.597,610,"25,515"
Disposals,,"(2,610）",(174),-,"(2,784)"
Effectof movements in exchange rates,,884,56,2,942
Balance at 30 June 2019,,"61,252","6,093","2,328","69,673"
Balance at 1 July 2019,,"61,252","6,093","2,328","69,673"
Additions,,"23,139","1,074",242,"24,455"
Disposals,,"(4,052)",(273),-,"(4,325)"
Effect of movements in exchange rates,,"(1,529)",(135),（2）,"(1,666)"
Balance at 28 June 2020,,"78,810","6,759","2,568","88,137"
