Name,Principal place of business
Lovisa Australia Pty Ltd,Australia
Lovisa Pty Ltd,Australia
Lovisa Employee Share Plan Pty Ltd,Australia
Lovisa International Pte Ltd,Singapore
Lovisa Singapore Pte Ltd,Singapore
Lovisa Accessories Pty Ltd,South Africa
DCK Jewellery South Africa (Pty) Ltd,South Africa
Lovisa New Zealand Pty Ltd,New Zealand
Lovisa Malaysia Sdn Bhd,Malaysia
Lovisa UK Ltd,United Kingdom
Lovisa Global Pte Ltd,Singapore
Lovisa Complementos España SL,Spain
"Lovisa America, LLC",United States of America
Lovisa France SARL,France
Lovisa Hong Kong Ltd,Hong Kong
